TIME [s]	VITESSE [m/s]	NBR REYNOLDS
0,02	0,441476	16878,219473
0,04	1,197541	45783,110921
0,06	0,325415	12441,422483
0,08	1,177097	45003,131582
0,1	0,644101	24625,336349
0,12	0,660703	25260,109427
0,14	0,698106	26690,238014
0,16	0,597119	22828,586615
0,18	0,617686	23615,483692
0,2	0,753215	28797,46718
0,22	0,650542	24871,273276
0,24	0,749906	28669,960666
0,26	0,663224	25356,298352
0,28	0,590094	22560,401442
0,3	0,376259	14385,104421
0,32	0,590787	22587,648473
0,34	0,418207	15989,055924
0,36	0,636291	24326,788298
0,38	0,581556	22234,225773
0,4	0,284153	10863,986158
0,42	0,767471	29341,916601
0,44	0,513866	19645,879278
0,46	0,506511	19365,032359
0,48	1,549376	59236,207588
0,5	1,208855	46218,517027
0,52	0,450816	17235,195421
0,54	0,601975	23014,737464
0,56	0,476849	18231,340963
0,58	0,589381	22533,538955
0,6	0,728474	27851,46378
0,62	0,484658	18529,315321
0,64	0,583706	22316,132465
0,66	0,492337	18822,700246
0,68	0,376261	14385,057885
0,7	0,54686	20907,212404
0,72	0,481196	18397,633947
0,74	0,682415	26090,245403
0,76	0,705224	26962,768265
0,78	0,471583	18029,719705
0,8	0,51709	19769,659858
0,82	0,480333	18364,428722
0,84	0,640857	24501,401787
0,86	0,780385	29835,968882
0,88	0,390379	14925,472735
0,9	0,933608	35693,824855
0,92	0,91138	34844,902334
0,94	0,579404	22151,89934
0,96	0,526679	20135,702287
0,98	0,519508	19861,719422
1	0,587965	22479,427994
1,02	0,565578	21623,264069
1,04	0,653737	24993,389411
1,06	0,571445	21847,308611
1,08	0,624405	23871,735176
1,1	0,421186	16102,889177
1,12	0,623722	23846,530181
1,14	0,649893	24846,954712
1,16	0,513042	19615,13139
1,18	0,633011	24201,260963
1,2	0,573623	21930,862551
1,22	0,692734	26483,682411
1,24	0,71054	27164,888837
1,26	0,561887	21481,894805
1,28	0,639552	24451,731777
1,3	0,649898	24846,864099
1,32	0,844081	32271,241896
1,34	1,114563	42612,141264
1,36	0,755983	28902,848507
1,38	0,734742	28090,853262
1,4	0,975017	37275,98043
1,42	0,93708	35827,080789
1,44	0,729067	27872,875524
1,46	0,845954	32343,303917
1,48	0,806655	30839,192929
1,5	0,752119	28754,916639
1,52	0,824512	31523,170656
1,54	0,780395	29835,751269
1,56	0,736439	28155,863102
1,58	0,552161	21110,225553
1,6	0,623719	23846,600317
1,62	0,449881	17200,038611
1,64	0,572889	21903,23567
1,66	0,597113	22828,714175
1,68	0,421182	16102,95927
1,7	0,298719	11420,53807
1,72	0,221545	8470,199401
1,74	1,076617	41160,823438
1,76	0,84499	32305,182876
1,78	0,519509	19861,697225
1,8	0,505011	19307,992557
1,82	0,500868	19149,678695
1,84	0,266272	10180,15667
1,86	0,52998	20261,877489
1,88	0,484818	18535,417635
1,9	0,767037	29324,841836
1,92	0,51644	19744,437995
1,94	0,556059	21259,305509
1,96	0,543176	20766,596985
1,98	0,65893	25192,098124
2	0,572302	21880,452507
2,02	0,609678	23308,58086
2,04	0,854889	32683,368261
2,06	0,952619	36419,701051
2,08	0,858288	32813,647377
2,1	0,805701	30803,682601
2,12	0,972927	37197,87277
2,14	1,147415	43868,156316
2,16	1,106389	42299,049212
2,18	1,057091	40414,351086
2,2	1,167253	44624,291254
2,22	1,164007	44501,92601
2,24	1,002891	38342,130667
2,26	1,205484	46088,674835
2,28	1,219262	46613,521536
2,3	1,395781	53362,370497
2,32	1,252964	47902,134131
2,34	1,378328	52697,012552
2,36	1,427062	54558,750525
2,38	1,315244	50283,952865
2,4	1,499089	57313,374553
2,42	1,494362	57132,352648
2,44	1,500469	57366,643814
2,46	1,550462	59277,104775
2,48	1,636228	62555,885421
2,5	1,608242	61485,524229
2,52	1,676479	64094,34899
2,54	1,637728	62614,819647
2,56	1,636999	62584,922062
2,58	1,609001	61515,597953
2,6	1,657963	63387,88658
2,62	1,838131	70276,50974
2,64	1,749953	66901,411527
2,66	1,829323	69936,667951
2,68	1,898376	72577,658632
2,7	1,903641	72778,64668
2,72	2,023296	77354,249762
2,74	1,980843	75731,315001
2,76	1,997172	76356,127636
2,78	2,015853	77070,662948
2,8	2,016661	77102,642602
