TIME [s]	VITESSE [m/s]	NBR REYNOLDS
0,02	0,603646	23061,610098
0,04	0,354761	13553,578884
0,06	0,57535	21980,606267
0,08	0,551665	21075,996459
0,1	0,674134	25754,772858
0,12	0,456539	17441,516762
0,14	0,462888	17684,102698
0,16	0,827928	31630,799879
0,18	0,615943	23532,125743
0,2	0,593888	22689,289958
0,22	0,661665	25277,345697
0,24	0,550167	21017,827962
0,26	0,795586	30393,923684
0,28	0,664162	25373,867191
0,3	0,692447	26454,173003
0,32	0,341591	13050,17202
0,34	0,620015	23686,31767
0,36	1,32031	50439,990127
0,38	1,354872	51759,580062
0,4	0,520575	19886,852977
0,42	0,679699	25966,168218
0,44	0,693666	26499,82251
0,46	0,519765	19856,395719
0,48	0,191364	7310,721838
0,5	0,672286	25683,575387
0,52	0,816273	31184,843613
0,54	0,5688	21729,750411
0,56	0,40525	15481,871167
0,58	0,670427	25612,284533
0,6	0,61324	23428,214035
0,62	0,761846	29105,074114
0,64	0,568061	21701,838073
0,66	0,47358	18092,30813
0,68	0,664159	25373,926049
0,7	0,482305	18425,655803
0,72	0,591086	22581,443779
0,74	0,781304	29848,384964
0,76	0,645044	24643,893382
0,78	1,087524	41547,808051
0,8	0,953493	36427,384038
0,82	1,34619	51430,036305
0,84	0,699638	26728,784236
0,86	0,619328	23660,900865
0,88	0,694246	26523,208015
0,9	0,568057	21701,917084
0,92	0,699639	26728,770109
0,94	0,664792	25397,796697
0,96	0,630671	24094,227621
0,98	0,532442	20341,035922
1	0,617987	23609,258359
1,02	0,412383	15754,815801
1,04	0,258146	9862,709028
1,06	0,733962	28040,10763
1,08	0,704385	26910,458729
1,1	0,593196	22662,227124
1,12	0,52455	20039,600057
1,14	0,449165	17160,217287
1,16	0,73168	27953,281804
1,18	0,461092	17614,958808
1,2	0,418591	15991,998354
1,22	1,342526	51289,997538
1,24	1,364039	52111,876668
1,26	0,660387	25229,484647
1,28	0,526133	20100,357643
1,3	0,547875	20931,050878
1,32	0,615955	23531,888744
1,34	0,641166	24495,012655
1,36	0,527725	20160,643357
1,38	0,581118	22201,054537
1,4	0,669791	25588,810855
1,42	0,75799	28958,634957
1,44	0,803938	30712,458093
1,46	0,72539	27712,608498
1,48	0,866817	33115,808878
1,5	0,62135	23737,849223
1,52	0,774319	29582,436219
1,54	0,669796	25588,697404
1,56	0,656597	25084,112392
1,58	0,868264	33170,790433
1,6	0,723087	27624,604183
1,62	0,626025	23916,751747
1,64	1,358266	51891,868831
1,66	1,557572	59506,23002
1,68	0,755239	28853,244421
1,7	0,427282	16324,013438
1,72	0,708514	27068,364916
1,74	0,40319	15402,982427
1,76	0,3055	11671,522751
1,78	0,178239	6809,565209
1,8	0,35381	13516,798362
1,82	0,400258	15291,583175
1,84	0,507726	19397,288641
1,86	0,534927	20436,200543
1,88	0,620807	23716,867393
1,9	0,662409	25305,924543
1,92	0,624151	23844,945038
1,94	0,565986	21622,871573
1,96	0,705681	26959,77385
1,98	0,488473	18661,597703
2	0,50278	19207,982054
2,02	1,000019	38205,395495
2,04	0,648402	24771,338675
2,06	0,839028	32054,835442
2,08	0,69796	26664,590292
2,1	0,923275	35272,906506
2,12	0,932717	35633,302729
2,14	0,845982	32319,066769
2,16	1,004607	38379,998196
2,18	0,979819	37432,488653
2,2	1,089839	41635,257098
2,22	1,1841	45236,438882
2,24	1,297017	49551,945172
2,26	1,253853	47903,301775
2,28	1,251532	47814,104219
2,3	1,26809	48446,215837
2,32	1,322499	50524,800024
2,34	1,263792	48282,94629
2,36	1,445986	55243,993369
2,38	1,328478	50753,125131
2,4	1,496183	57160,339246
2,42	1,460932	55813,409618
2,44	1,493942	57075,297958
2,46	1,585992	60592,99423
2,48	1,553598	59354,56793
2,5	1,510589	57711,747612
2,52	1,587835	60663,196869
2,54	1,599368	61102,647505
2,56	1,659531	63399,835927
2,58	1,72869	66042,556548
2,6	1,714855	65515,771852
2,62	1,726508	65959,772766
2,64	1,861987	71136,614029
2,66	1,849658	70663,845916
2,68	1,937748	74028,858038
2,7	1,906061	72818,773433
2,72	2,004972	76599,63149
2,74	1,97291	75373,778288
2,76	2,091133	79889,331483
2,78	2,087329	79744,693866
2,8	2,096312	80087,156576
2,82	2,124185	81151,438846
2,84	2,181319	83334,802323
2,86	2,257421	86241,935996
2,88	2,256327	86199,275351
2,9	2,217753	84724,812575
2,92	2,245332	85783,000314
2,94	2,272142	86804,875307
2,96	2,269231	86692,044453
2,98	2,345833	89619,852456
3	2,432229	92920,919537
3,02	2,429992	92835,876394
3,04	2,471358	94415,221418
3,06	2,472048	94440,681857
3,08	2,59178	99015,297512
3,1	2,597219	99224,599103
3,12	2,65876	101577,258646
3,14	2,767434	105728,545079
3,16	2,707073	103424,480273
3,18	2,781593	106267,650867
3,2	2,82608	107966,217728
3,22	2,902385	110880,528457
3,24	2,895584	110623,065641
3,26	2,940889	112353,502858
3,28	2,978102	113774,382138
3,3	2,974296	113630,317309
3,32	3,001514	114669,995619
3,34	3,060852	116934,348402
3,36	3,128729	119529,581532
3,38	3,133564	119711,918675
3,4	3,185664	121704,283435
3,42	3,197963	122173,089026
3,44	3,254171	124321,712414
3,46	3,300548	126097,324964
3,48	3,337402	127502,892938
3,5	3,444541	131594,432362
3,52	3,430381	131051,477201
3,54	3,506006	133940,970022
3,56	3,528019	134784,358411
3,58	3,554063	135778,277855
3,6	3,668327	140146,992987
3,62	3,662087	139907,558493
3,64	3,759334	143620,498547
3,66	3,754615	143437,036313
3,68	3,79068	144819,59112
3,7	3,864807	147648,873637
3,72	3,832928	146432,446109
3,74	3,886965	148495,722988
3,76	3,945114	150716,875114
3,78	3,961645	151350,172472
3,8	4,019555	153561,494205
3,82	4,101653	156701,409919
3,84	4,115152	157211,199761
3,86	4,234591	161781,521824
3,88	4,22273	161324,174387
3,9	4,264427	162921,106657
3,92	4,281563	163572,373169
3,94	4,312097	164735,360927
3,96	4,448477	169948,228568
3,98	4,435196	169443,40671
4	4,518183	172614,425641
4,02	4,499721	171907,05439
4,04	4,546547	173696,510334
4,06	4,652658	177753,492663
4,08	4,670386	178429,860566
4,1	4,773137	182352,99668
4,12	4,759846	181844,823771
4,14	4,772498	182330,209409
4,16	4,768028	182160,130394
4,18	4,896274	187059,197189
4,2	4,893829	186959,275357
4,22	5,00098	191046,834747
4,24	5,030054	192164,068547
4,26	5,053568	193065,826769
4,28	5,125456	195815,215813
4,3	5,161129	197178,116378
4,32	5,262014	201028,479541
4,34	5,235283	200014,027839
4,36	5,300113	202481,731193
4,38	5,362167	204855,623502
4,4	5,416542	206929,6353
4,42	5,50068	210151,404038
4,44	5,489202	209714,004381
4,46	5,604733	214128,64919
4,48	5,643563	215609,028745
4,5	5,65296	215966,810015
4,52	5,743256	219417,200045
4,54	5,732603	219004,128103
4,56	5,71644	218390,405909
4,58	5,819618	222331,582286
4,6	5,86585	224094,658213
4,62	5,91104	225824,789753
4,64	6,014451	229772,817082
4,66	6,008128	229535,927237
4,68	6,095352	232872,960192
4,7	6,141359	234634,503919
4,72	6,183524	236240,905696
4,74	6,286142	240152,322929
4,76	6,270104	239541,394004
4,78	6,401074	244545,671694
4,8	6,420199	245276,282815
4,82	6,477508	247464,748819
4,84	6,556314	250477,09717
4,86	6,564499	250790,66348
4,88	6,645481	253885,68367
4,9	6,650906	254091,149879
4,92	6,77141	258693,629982
4,94	6,835741	261152,85988
4,96	6,81337	260298,602261
4,98	6,83367	261077,134798
5	6,963746	266039,79431
5,02	6,946154	265376,204555
5,04	7,03815	268885,372821
5,06	7,11581	271859,348545
5,08	7,109571	271608,609174
5,1	7,247495	276887,191183
5,12	7,246982	276867,293069
5,14	7,345181	280611,765056
5,16	7,404345	282881,002038
5,18	7,458167	284943,329483
5,2	7,558425	288763,156986
5,22	7,571434	289253,658651
5,24	7,699495	294149,984567
5,26	7,71621	294791,881403
5,28	7,765107	296651,557358
5,3	7,84697	299787,235979
5,32	7,879122	301011,644151
5,34	7,992484	305341,572557
5,36	7,984386	305023,379384
5,38	8,002922	305742,842478
5,4	8,03724	307066,090873
5,42	8,169301	312101,535376
5,44	8,152688	311464,215685
5,46	8,317336	317753,114304
5,48	8,324555	318025,821474
5,5	8,401894	320989,122756
5,52	8,493045	324472,926756
5,54	8,511604	325180,80607
5,56	8,656732	330715,32903
5,58	8,668802	331177,197839
5,6	8,788027	335733,524885
5,62	8,854248	338266,778844
5,64	8,905773	340229,158644
5,66	9,046066	345603,279047
5,68	9,036141	345213,738547
5,7	9,176079	350563,18915
5,72	9,203613	351612,9875
5,74	9,282174	354618,883353
5,76	9,399856	359114,535493
5,78	9,3829	358466,393204
5,8	9,377157	358242,215014
5,82	9,510236	363332,205943
5,84	9,58221	366085,361118
5,86	9,628277	367837,364324
5,88	9,812033	374852,031873
5,9	9,812339	374870,733623
5,92	9,97007	380905,786185
5,94	10,009073	382390,101752
5,96	10,109859	386237,444209
5,98	10,235716	391033,068759
6	10,241691	391262,054332
6,02	10,462041	399694,613673
6,04	10,46498	399812,194229
6,06	10,587014	404471,141793
6,08	10,674015	407785,999786
6,1	10,712677	409268,986172
6,12	10,901054	416468,311147
6,14	10,89668	416295,172317
6,16	11,081614	423366,042957
6,18	11,131674	425269,006932
6,2	11,136167	425447,366304
6,22	11,134622	425388,907765
6,24	11,362967	434117,710883
6,26	11,369076	434324,08284
6,28	11,496326	439192,816964
6,3	11,597169	443074,554914
6,32	11,632364	444401,61179
6,34	11,860022	453103,998435
6,36	11,858413	453046,167398
6,38	12,026442	459477,521889
6,4	12,109256	462619,782524
6,42	12,1842	465486,991149
6,44	12,356716	472071,226111
6,46	12,34554	471648,257598
6,48	12,579575	480588,768035
6,5	12,599014	481339,482525
6,52	12,714547	485750,160656
6,54	12,844767	490723,639518
6,56	12,856415	491176,386675
6,58	13,094935	500287,048321
6,6	13,086533	499950,592847
6,62	13,088592	500039,355874
6,64	13,162233	502851,103208
6,66	13,34142	509699,90763
6,68	13,342383	509720,475588
6,7	13,557562	517962,576377
6,72	13,591841	519274,201511
6,74	13,707504	523716,297656
6,76	13,846243	529001,089923
