TIME [s]	VITESSE [m/s]	NBR REYNOLDS
0,02	0,609748	23299,654688
0,04	0,412321	15756,1036
0,06	0,643683	24595,836345
0,08	0,357065	13643,901434
0,1	0,497557	19012,335997
0,12	1,399514	53478,347877
0,14	0,955466	36510,418524
0,16	0,703105	26867,138779
0,18	0,302975	11577,302571
0,2	0,431126	16473,341293
0,22	0,623939	23842,03134
0,24	0,691154	26409,910593
0,26	0,494197	18883,775382
0,28	0,193505	7394,049865
0,3	0,724726	27692,475186
0,32	0,510796	19517,7181
0,34	0,697767	26662,058842
0,36	0,692976	26478,674955
0,38	0,36401	13908,87295
0,4	0,646918	24719,181917
0,42	0,521301	19918,990362
0,44	0,592428	22636,689775
0,46	0,669725	25590,165034
0,48	0,516487	19734,637335
0,5	0,763949	29190,333048
0,52	0,672831	25708,808745
0,54	0,232642	8889,283418
0,56	1,506582	57566,757535
0,58	1,230188	47005,189841
0,6	0,485697	18558,435036
0,62	0,694789	26547,325242
0,64	0,539385	20609,806093
0,66	0,556132	21249,600404
0,68	0,775328	29624,940937
0,7	0,55762	21307,016404
0,72	0,6411	24496,374398
0,74	0,481384	18393,729104
0,76	0,469988	17958,409831
0,78	0,680227	25991,375049
0,8	0,118735	4536,8717
0,82	0,578909	22119,734281
0,84	0,59665	22797,152987
0,86	0,316208	12081,973188
0,88	0,79233	30275,705836
0,9	0,67035	25613,885853
0,92	0,6495	24817,285525
0,94	0,573843	21926,300792
0,96	0,481386	18393,695608
0,98	0,579614	22147,530978
1	0,480515	18360,647515
1,02	0,213972	8175,885666
1,04	0,646282	24694,349998
1,06	0,652706	24939,530702
1,08	0,605641	23142,176025
1,1	0,464628	17754,012913
1,12	0,8131	31069,63661
1,14	0,551608	21077,191068
1,16	0,58605	22393,562888
1,18	0,41233	15755,917994
1,2	0,644955	24645,738418
1,22	0,582468	22257,53871
1,24	0,496721	18980,233708
1,26	0,518078	19796,663632
1,28	0,68752	26271,378212
1,3	0,416353	15909,723873
1,32	0,469977	17958,645101
1,34	0,493347	18851,62017
1,36	0,734984	28085,840093
1,38	0,788102	30114,577952
1,4	0,737822	28193,845833
1,42	0,64237	24546,631818
1,44	0,58817	22475,184435
1,46	0,882528	33722,471523
1,48	1,213074	46354,223292
1,5	0,748485	28601,049079
1,52	0,971478	37122,147721
1,54	0,790209	30195,452
1,56	0,723552	27648,946896
1,58	0,784384	29972,874367
1,6	0,694746	26548,215783
1,62	0,580318	22175,304101
1,64	0,808464	30892,970317
1,66	0,761741	29107,2538
1,68	0,746795	28537,47008
1,7	0,389453	14881,659732
1,72	0,53316	20372,264701
1,74	0,35236	13464,343568
1,76	0,362858	13865,150117
1,78	0,217826	8323,614237
1,8	0,11938	4561,792866
1,82	0,283054	10816,213025
1,84	0,294344	11247,286487
1,86	0,669823	25594,938736
1,88	1,183248	45212,565012
1,9	0,816668	31206,752183
1,92	0,21433	8189,748283
1,94	0,525405	20077,381821
1,96	0,496024	18954,370772
1,98	0,72654	27762,733771
2	0,613282	23434,784452
2,02	0,842401	32189,535125
2,04	0,816266	31190,571825
2,06	0,891919	34081,724085
2,08	0,911785	34841,512275
2,1	0,913155	34893,904983
2,12	0,911792	34841,380244
2,14	1,047149	40013,295422
2,16	0,909946	34771,723367
2,18	1,101105	42074,690752
2,2	1,073098	41005,200693
2,22	1,206621	46105,866087
2,24	1,18041	45105,06581
2,26	1,275809	48749,889322
2,28	1,206253	46093,113831
2,3	1,369995	52351,26549
2,32	1,215907	46461,111617
2,34	1,330182	50828,729183
2,36	1,333946	50972,058441
2,38	1,355296	51790,427505
2,4	1,395056	53306,969657
2,42	1,460443	55806,720551
2,44	1,479445	56532,81795
2,46	1,481415	56608,155498
2,48	1,639556	62651,899059
2,5	1,665312	63634,769755
2,52	1,633991	62436,975114
2,54	1,714161	65501,494118
2,56	1,613645	61663,281118
2,58	1,655766	63270,3274
2,6	1,7462	66726,226035
2,62	1,87269	71559,573267
2,64	1,911913	73057,909676
2,66	1,8836	71974,503228
2,68	1,941145	74173,834665
2,7	1,969481	75257,853203
2,72	1,906271	72840,200396
2,74	1,946938	74395,040161
2,76	2,046502	78201,280931
2,78	2,000801	76452,974513
2,8	2,08722	79758,715916
2,82	2,11876	80962,718664
2,84	2,214355	84617,813417
2,86	2,214581	84624,219103
2,88	2,197027	83952,108506
2,9	2,272241	86824,460926
2,92	2,211361	84502,198191
2,94	2,276248	86979,08804
2,96	2,331759	89102,551506
2,98	2,375359	90767,100995
3	2,470661	94409,777667
3,02	2,466937	94268,00227
3,04	2,55791	97741,801358
3,06	2,578823	98542,455103
3,08	2,573481	98338,425469
3,1	2,703519	103307,386508
3,12	2,671766	102091,345278
3,14	2,710468	103571,826665
3,16	2,697705	103082,146488
3,18	2,736195	104554,36946
3,2	2,719048	103900,840079
3,22	2,919276	111551,89308
3,24	2,91344	111327,426599
3,26	2,942644	112442,431813
3,28	2,979935	113868,345522
3,3	2,970087	113494,320119
3,32	3,052303	116637,20265
3,34	3,090792	118103,346361
3,36	3,140675	120011,006795
3,38	3,152316	120456,915213
3,4	3,164431	120921,53955
3,42	3,263177	124693,049376
3,44	3,288311	125657,284753
3,46	3,321786	126933,55736
3,48	3,309169	126453,969238
3,5	3,402608	130023,184565
3,52	3,488787	133314,205448
3,54	3,441793	131522,900271
3,56	3,49732	133643,79281
3,58	3,557155	135928,416084
3,6	3,576414	136665,904079
3,62	3,605254	137771,93453
3,64	3,688842	140964,220054
3,66	3,635612	138927,596002
3,68	3,790162	144836,788915
3,7	3,799093	145176,156076
3,72	3,902915	149143,010225
3,74	3,88799	148575,612474
3,76	3,939613	150550,386044
3,78	4,038478	154328,040581
3,8	4,039358	154358,473783
3,82	4,167194	159247,708458
3,84	4,121892	157512,980633
3,86	4,163968	159119,923827
3,88	4,244685	162204,032753
3,9	4,273874	163323,879938
3,92	4,376765	167252,475889
3,94	4,372527	167093,184764
3,96	4,329692	165456,846962
3,98	4,385611	167590,676008
4	4,491177	171630,451136
4,02	4,498899	171924,080666
4,04	4,578423	174958,522758
4,06	4,569567	174626,397763
4,08	4,668838	178414,557947
4,1	4,729487	180733,914721
4,12	4,734234	180915,926444
4,14	4,828105	184499,828451
4,16	4,862397	185817,464135
4,18	4,954499	189334,615322
4,2	4,935632	188607,721193
4,22	4,981963	190377,607058
4,24	5,101386	194944,522902
4,26	5,105028	195085,693053
4,28	5,211021	199133,767003
4,3	5,213227	199215,323309
4,32	5,260796	201035,025674
4,34	5,379526	205570,973822
4,36	5,35454	204614,710535
4,38	5,345223	204261,299228
4,4	5,444946	208078,359899
4,42	5,470006	209026,665371
4,44	5,52555	211151,321929
4,46	5,609711	214367,264126
4,48	5,605914	214222,514
4,5	5,760708	220140,52149
4,52	5,733872	219114,965205
4,54	5,821704	222469,858908
4,56	5,89207	225156,199845
4,58	5,892788	225187,181921
4,6	5,9997	229272,679415
4,62	6,015458	229878,553169
4,64	6,075145	232153,049916
4,66	6,129258	234224,465263
4,68	6,184181	236322,651233
4,7	6,269903	239600,395836
4,72	6,272092	239680,396426
4,74	6,382541	243899,47808
