TIME [s]	VITESSE [m/s]	NBR REYNOLDS
0,02	0,768161	29330,880288
0,04	0,694314	26511,786674
0,06	0,783259	29907,93444
0,08	0,840492	32092,720438
0,1	0,831967	31768,168059
0,12	0,793346	30293,130056
0,14	0,957341	36555,443514
0,16	0,590044	22529,807172
0,18	0,751077	28678,746556
0,2	0,56983	21758,328663
0,22	0,923995	35280,747888
0,24	0,791765	30232,57501
0,26	0,684598	26140,968461
0,28	0,780043	29785,333582
0,3	0,817272	31205,639473
0,32	0,849387	32433,59646
0,34	0,739829	28250,36657
0,36	0,702107	26809,332193
0,38	0,945019	36085,042522
0,4	0,65204	24897,372345
0,42	0,863088	32955,908756
0,44	0,756069	28869,74686
0,46	0,667893	25502,778129
0,48	0,942353	35983,534477
0,5	0,916243	34985,870248
0,52	0,798089	30473,700837
0,54	0,635789	24276,927314
0,56	0,949448	36253,540643
0,58	0,881791	33670,448742
0,6	0,742098	28336,434381
0,62	0,865517	33048,206435
0,64	0,696714	26603,842127
0,66	0,799642	30534,112189
0,68	1,275012	48685,301389
0,7	1,384206	52853,394102
0,72	0,819294	31284,253993
0,74	0,870807	33250,973625
0,76	0,825913	31536,720205
0,78	0,819809	31303,665019
0,8	0,942806	36000,303509
0,82	0,713934	27260,667659
0,84	0,903367	34493,927517
0,86	0,786985	30050,532359
0,88	0,530262	20247,510219
0,9	0,904288	34529,407598
0,92	0,735301	28076,780572
0,94	0,778433	29723,787717
0,96	0,871301	33269,030119
0,98	0,746615	28507,813162
1	0,703899	26877,407492
1,02	0,73358	28011,746372
1,04	0,783772	29928,762094
1,06	0,79335	30293,057207
1,08	0,758832	28975,229998
1,1	1,307776	49934,5805
1,12	1,437594	54892,470462
1,14	0,862613	32937,184221
1,16	0,833479	31825,642167
1,18	0,863085	32955,978344
1,2	0,732456	27967,780276
1,22	0,860155	32845,002433
1,24	0,771957	29476,323418
1,26	0,774135	29558,75942
1,28	0,913956	34898,54605
1,3	0,700914	26763,768827
1,32	0,91212	34828,582401
1,34	0,653961	24970,831461
1,36	0,868403	33159,034559
1,38	0,783264	29907,837081
1,4	0,743792	28400,888449
1,42	0,978105	37348,055387
1,44	0,720935	27527,975217
1,46	0,708051	27035,828434
1,48	0,724414	27660,582829
1,5	0,700327	26740,731001
1,52	1,456154	55601,572515
1,54	1,353601	51686,569865
1,56	0,799658	30533,781756
1,58	0,731308	27924,177988
1,6	0,625839	23896,863417
1,62	0,158711	6060,331611
1,64	0,520693	19882,795379
1,66	0,506026	19322,280164
1,68	0,240166	9170,549544
1,7	0,260242	9936,973422
1,72	0,549018	20963,79199
1,74	0,382834	14618,348005
1,76	0,50618	19328,128406
1,78	0,447364	17082,31225
1,8	0,58159	22207,767385
1,82	0,655994	25048,604741
1,84	0,629291	24029,044148
1,86	0,727975	27796,793278
1,88	0,608323	23228,453757
1,9	0,66612	25435,499644
1,92	0,883309	33727,970286
1,94	0,669256	25555,128655
1,96	0,760578	29042,425799
1,98	0,816328	31170,433817
2	0,889924	33980,216058
2,02	0,830038	31694,963274
2,04	0,816309	31170,82691
2,06	1,081405	41293,090244
2,08	0,997678	38095,084271
2,1	0,976491	37285,260214
2,12	1,02213	39028,721477
2,14	1,211392	46255,525568
2,16	1,219302	46558,19348
2,18	1,223054	46702,519559
2,2	1,174899	44862,763259
2,22	1,299402	49616,387236
2,24	1,270724	48522,351673
2,26	1,27337	48622,569852
2,28	1,195399	45644,513847
2,3	1,339682	51154,552973
2,32	1,392084	53155,2259
2,34	1,413556	53975,651732
2,36	1,42712	54493,049922
2,38	1,429763	54593,626398
2,4	1,455277	55568,930996
2,42	1,547571	59091,614179
2,44	1,515034	57849,925271
2,46	1,542922	58916,718733
2,48	1,581253	60379,352966
2,5	1,644337	62786,765016
2,52	1,65652	63251,343121
2,54	1,766061	67435,696645
