TIME [s]	VITESSE [m/s]	NBR REYNOLDS
0,02	0,592239	22609,44554
0,04	0,345915	13205,527556
0,06	0,687744	26255,440581
0,08	0,82501	31495,691595
0,1	0,690787	26371,263793
0,12	0,594366	22690,044276
0,14	0,750608	28655,62565
0,16	0,670476	25596,652383
0,18	0,546665	20869,186079
0,2	0,648271	24747,947421
0,22	0,539725	20604,457398
0,24	0,409129	15618,564982
0,26	0,817875	31223,29666
0,28	0,592942	22636,488667
0,3	0,397704	15182,958756
0,32	1,411397	53880,769583
0,34	1,479419	56477,004874
0,36	0,519161	19819,705668
0,38	0,60966	23274,220576
0,4	0,62055	23689,956169
0,42	0,637194	24325,294092
0,44	0,334833	12783,193489
0,46	0,682237	26045,594387
0,48	0,551238	21043,945898
0,5	0,364767	13925,141189
0,52	0,76935	29370,376394
0,54	0,590112	22528,385656
0,56	0,558782	21331,879369
0,58	0,641121	24475,386207
0,6	0,423206	16156,337646
0,62	0,584408	22310,701511
0,64	0,730252	27878,594227
0,66	0,42419	16194,145311
0,68	0,69562	26555,669134
0,7	0,394539	15061,812336
0,72	0,599265	22877,730932
0,74	1,392272	53151,343755
0,76	1,296959	49511,535794
0,78	0,527961	20155,403701
0,8	0,558029	21303,334226
0,82	0,567695	21672,533353
0,84	0,406043	15501,017878
0,86	0,625251	23869,625734
0,88	0,596458	22770,92604
0,9	0,588688	22474,229949
0,92	0,631249	24098,565652
0,94	0,283377	10818,224138
0,96	0,67235	25667,988155
0,98	0,581541	22200,919903
1	0,719279	27459,587705
1,02	0,515115	19665,149246
1,04	0,58441	22310,655729
1,06	0,708728	27056,608961
1,08	0,573565	21896,569656
1,1	0,575749	21980,037982
1,12	0,515114	19665,165963
1,14	0,743886	28398,946582
1,16	1,366472	52166,511374
1,18	1,348533	51481,368645
1,2	0,467386	17843,36876
1,22	0,673602	25715,322111
1,24	0,68592	26185,541042
1,26	0,729114	27834,589706
1,28	0,682865	26068,704398
1,3	0,673605	25715,25427
1,32	0,665467	25405,134653
1,34	0,610347	23300,412136
1,36	0,545895	20840,005781
1,38	0,790271	30170,024394
1,4	0,76334	29140,991964
1,42	0,921392	35174,367058
1,44	0,706944	26989,066024
1,46	0,813777	31066,420311
1,48	0,849028	32412,009441
1,5	0,751723	28698,17634
1,52	0,787091	30048,353443
1,54	0,767696	29308,403532
1,56	0,752294	28719,138017
1,58	1,197307	45708,041634
1,6	1,39702	53332,542362
1,62	0,860773	32860,851679
1,64	0,698615	26670,470756
1,66	0,721041	27525,777572
1,68	0,388128	14816,597607
1,7	0,542043	20693,197947
1,72	0,376059	14356,817787
1,74	0,337332	12878,134738
1,76	0,168494	6432,46586
1,78	0,363823	13889,58076
1,8	0,226166	8634,329436
1,82	0,502925	19200,107483
1,84	0,532839	20341,877135
1,86	0,494537	18879,523704
1,88	0,708841	27060,722627
1,9	0,643827	24579,935703
1,92	0,78294	29888,905865
1,94	0,636652	24304,982159
1,96	0,725771	27706,787715
1,98	0,781871	29848,037281
2	0,583125	22260,641749
2,02	0,721714	27552,36542
2,04	0,799846	30535,600882
2,06	0,85646	32697,11065
2,08	0,816946	31187,811008
2,1	0,86329	32957,030185
2,12	1,096546	41862,347334
2,14	1,217406	46476,062188
2,16	0,997399	38076,145144
2,18	1,113607	42512,900409
2,2	1,101134	42036,55672
2,22	1,00948	38538,424311
2,24	1,192399	45520,837845
2,26	1,20078	45841,705392
2,28	1,302766	49736,178456
2,3	1,275152	48682,392129
2,32	1,362463	52014,652299
2,34	1,390462	53082,522787
2,36	1,291823	49316,708876
2,38	1,461169	55784,998068
2,4	1,385618	52898,673663
2,42	1,307255	49907,662224
2,44	1,418423	54153,405184
2,46	1,61027	61477,61675
2,48	1,476274	56361,753636
2,5	1,704002	65055,435479
2,52	1,69189	64594,870541
2,54	1,732035	66124,997722
2,56	1,674291	63919,423852
2,58	1,626047	62080,171102
2,6	1,718688	65615,585899
2,62	1,704479	65074,488668
2,64	1,870733	71422,38365
2,66	1,842125	70328,415445
2,68	1,921294	73352,643427
2,7	1,982447	75685,645945
2,72	1,906213	72776,169463
2,74	2,038673	77831,710566
2,76	2,034126	77659,549322
2,78	2,01453	76908,504857
2,8	2,117858	80853,485104
2,82	2,072638	79130,972721
2,84	2,1367	81575,743444
2,86	2,24132	85569,127352
2,88	2,215971	84600,827
2,9	2,248972	85860,835251
2,92	2,339476	89316,095923
2,94	2,365022	90296,130954
2,96	2,386943	91128,683123
2,98	2,445517	93364,089238
3	2,445659	93371,215546
3,02	2,489573	95049,16516
3,04	2,529498	96570,049125
3,06	2,583032	98614,841597
3,08	2,612968	99759,760947
3,1	2,682264	102402,798753
3,12	2,657439	101458,059895
3,14	2,745627	104823,802245
3,16	2,772173	105837,709318
3,18	2,774994	105948,144181
3,2	2,895841	110557,181478
3,22	2,923438	111612,341587
3,24	2,918321	111414,479045
3,26	2,950102	112629,825866
3,28	2,944532	112418,976221
3,3	2,918395	111421,395943
3,32	3,051406	116496,023355
3,34	3,058369	116763,366807
3,36	3,116375	118979,478212
3,38	3,150794	120288,457824
3,4	3,141445	119933,583155
3,42	3,288741	125555,076432
3,44	3,302011	126065,730931
3,46	3,309773	126359,853193
3,48	3,336897	127400,324912
3,5	3,311235	126418,922839
3,52	3,493251	133365,720906
3,54	3,452871	131824,171785
