TIME [s]	VITESSE [m/s]	NBR REYNOLDS
0,02	0,910958	34745,804203
0,04	0,767562	29276,031703
0,06	0,372376	14202,930299
0,08	0,67856	25881,200633
0,1	0,803206	30635,887831
0,12	0,559769	21350,515217
0,14	0,688334	26254,540468
0,16	0,437402	16682,99783
0,18	0,713965	27231,996085
0,2	0,583884	22270,388939
0,22	0,836341	31899,678767
0,24	0,204236	7789,806883
0,26	0,027536	1050,275167
0,28	0,840836	32070,53354
0,3	0,433567	16536,52271
0,32	0,725003	27652,85908
0,34	0,663606	25311,368638
0,36	0,344388	13135,58098
0,38	0,686529	26184,589835
0,4	0,546163	20831,729063
0,42	0,271342	10349,432706
0,44	1,549032	59084,771607
0,46	1,241723	47362,955295
0,48	0,519509	19814,43249
0,5	0,680999	25975,411682
0,52	0,679167	25904,86527
0,54	0,653454	24924,067929
0,56	0,671738	25621,804317
0,58	0,699184	26667,941372
0,6	0,55073	21006,206412
0,62	0,539239	20567,274414
0,64	0,541546	20656,031688
0,66	0,620657	23673,055633
0,68	0,716882	27343,467759
0,7	0,733606	27980,51503
0,72	0,366712	13987,484198
0,74	0,753258	28731,357364
0,76	0,741535	28283,127076
0,78	0,636609	24281,620289
0,8	0,60911	23232,23879
0,82	0,526692	20088,809361
0,84	0,323098	12323,781432
0,86	1,016403	38768,185525
0,88	1,364632	52048,95958
0,9	1,517655	57887,142113
0,92	0,210281	8020,595517
0,94	0,700363	26713,813995
0,96	0,552252	21063,864584
0,98	0,771909	29441,615951
1	0,592401	22595,787751
1,02	0,601514	22942,633228
1,04	0,685295	26138,450049
1,06	0,58602	22352,284368
1,08	0,763179	29109,735532
1,1	0,380145	14499,58294
1,12	0,60841	23206,330409
1,14	0,541562	20655,708398
1,16	0,685911	26161,556046
1,18	0,564225	21520,799314
1,2	0,638576	24356,593122
1,22	0,30445	11612,665169
1,24	0,59593	22729,652782
1,26	0,470521	17947,392962
1,28	0,615924	23492,630867
1,3	1,654197	63094,970989
1,32	1,496336	57072,060752
1,34	0,508919	19411,979028
1,36	0,682845	26045,374095
1,38	0,549199	20948,463334
1,4	0,432587	16500,029621
1,42	0,626012	23877,795302
1,44	0,723814	27609,58701
1,46	0,85117	32466,995008
1,48	0,65216	24875,52507
1,5	0,798469	30457,60507
1,52	0,69737	26599,840688
1,54	0,764794	29172,850558
1,56	0,764261	29151,72539
1,58	0,861416	32857,906009
1,6	0,740961	28261,838269
1,62	0,771334	29421,640574
1,64	0,61523	23467,060362
1,66	0,635283	24231,732679
1,68	0,56864	21689,863784
1,7	0,513005	19568,016813
1,72	1,495472	57043,661924
1,74	1,390309	53031,458195
1,76	0,635282	24231,753948
1,78	0,612498	23363,395434
1,8	0,606329	23127,958238
1,82	0,35277	13455,854932
1,84	0,049292	1880,146662
1,86	0,444188	16943,354651
1,88	0,238549	9099,301159
1,9	0,630782	24060,214758
1,92	0,725663	27679,376875
1,94	0,497444	18974,461246
1,96	0,609206	23237,743348
1,98	0,553132	21098,405116
2	0,741042	28266,326718
2,02	0,638676	24361,676281
2,04	0,732525	27942,038336
2,06	0,794372	30301,161309
2,08	0,740471	28244,952045
2,1	0,771986	29445,918616
2,12	0,657369	25075,097331
2,14	0,878316	33502,670649
2,16	0,798582	30460,975654
2,18	0,921944	35167,306607
2,2	1,033107	39406,217325
2,22	1,15675	44122,823666
2,24	1,175389	44833,492331
2,26	1,22275	46641,970805
2,28	1,198964	45733,180341
2,3	1,200017	45772,893071
2,32	1,3358	50952,128502
2,34	1,360264	51886,700705
2,36	1,255158	47876,342841
2,38	1,39934	53376,644039
2,4	1,415698	53998,851022
2,42	1,468703	56021,703356
2,44	1,363954	52026,944114
2,46	1,599981	61028,56979
2,48	1,576542	60135,901939
2,5	1,657692	63230,502748
2,52	1,698026	64769,663711
2,54	1,744614	66547,912773
2,56	1,558458	59443,54874
2,58	1,708354	65162,218776
2,6	1,667755	63613,727139
2,62	1,657197	63211,079189
2,64	1,827238	69697,650703
2,66	1,800955	68696,542772
2,68	1,842477	70280,052383
2,7	1,906235	72712,086871
2,72	1,906486	72719,805216
2,74	2,036819	77691,64087
2,76	2,048454	78136,923159
2,78	2,089264	79692,930072
2,8	2,027104	77323,996778
2,82	2,172423	82864,21373
2,84	2,178761	83105,988188
2,86	2,191009	83572,705561
2,88	2,254884	86011,313427
2,9	2,243556	85578,943566
2,92	2,288198	87280,957133
2,94	2,313098	88229,735047
2,96	2,272385	86680,938949
2,98	2,377784	90696,30381
3	2,443312	93195,646781
3,02	2,405677	91763,808375
3,04	2,467782	94131,073288
3,06	2,546286	97125,503242
3,08	2,546145	97118,771727
3,1	2,650187	101088,191943
3,12	2,614327	99719,378958
3,14	2,727421	104034,411959
3,16	2,727549	104040,770156
3,18	2,770469	105674,686502
3,2	2,840032	108328,114444
3,22	2,835838	108172,332993
3,24	2,914364	111165,025221
3,26	2,895076	110429,969543
3,28	2,966897	113171,360063
3,3	3,018436	115136,280565
3,32	2,992495	114143,3566
3,34	3,081439	117540,581496
3,36	3,118676	118958,898386
3,38	3,090271	117875,686043
3,4	3,123902	119157,950051
3,42	3,218015	122746,384446
3,44	3,190754	121706,927941
3,46	3,346057	127632,707521
3,48	3,321535	126694,712438
3,5	3,376737	128804,41429
3,52	3,410002	130072,246986
3,54	3,443097	131331,848828
3,56	3,512825	133995,996101
3,58	3,534438	134818,630035
3,6	3,645505	139053,690527
3,62	3,666078	139838,48514
3,64	3,676581	140237,241655
3,66	3,685998	140596,68864
3,68	3,687637	140662,795504
3,7	3,844191	146634,77648
3,72	3,844979	146663,251925
3,74	3,920791	149552,052919
3,76	3,91165	149207,580312
3,78	3,939553	150271,061168
3,8	3,927107	149791,038342
3,82	4,01621	153196,5762
3,84	4,056888	154748,448408
3,86	4,110202	156781,957044
3,88	4,138733	157866,577264
3,9	4,136908	157803,324419
3,92	4,264771	162677,848451
3,94	4,254165	162273,946077
3,96	4,346221	165783,277944
3,98	4,394479	167619,959874
4	4,431967	169055,858319
4,02	4,4851	171077,447121
4,04	4,493626	171404,851199
4,06	4,573227	174437,900197
4,08	4,60024	175470,893313
4,1	4,657054	177641,52521
4,12	4,741158	180840,180114
4,14	4,77454	182118,195523
4,16	4,849717	184987,044912
4,18	4,855489	185207,047457
4,2	4,845168	184812,354211
4,22	4,880709	186164,932477
4,24	4,976651	189826,391623
4,26	5,015328	191304,504801
4,28	5,119526	195271,260566
4,3	5,103326	194663,722524
4,32	5,172395	197297,067701
4,34	5,223419	199244,693658
4,36	5,243486	200008,57234
4,38	5,362414	204539,041405
4,4	5,364287	204610,29924
4,42	5,418063	206666,96543
4,44	5,496825	209672,710741
4,46	5,500821	209826,99785
4,48	5,606893	213873,67669
4,5	5,591231	213271,289429
4,52	5,709993	217805,677748
4,54	5,721914	218251,496937
4,56	5,790042	220852,536501
4,58	5,894892	224851,962303
4,6	5,890714	224692,254118
4,62	5,891066	224705,835107
4,64	5,96078	227370,569455
4,66	6,004962	229053,404855
4,68	6,06372	231296,566223
4,7	6,156319	234828,625036
4,72	6,161088	235013,349105
4,74	6,243189	238146,531431
4,76	6,276145	239400,870053
4,78	6,335147	241638,369042
4,8	6,396997	244000,406244
4,82	6,404659	244298,93838
4,84	6,578353	250926,702882
4,86	6,564833	250405,846364
4,88	6,640986	253309,374119
4,9	6,681498	254855,361236
4,92	6,704162	255723,48913
4,94	6,823685	260283,549824
4,96	6,823871	260286,896286
4,98	6,934754	264518,255733
5	6,952012	265173,828041
5,02	6,94365	264862,060773
5,04	6,983447	266372,297582
5,06	7,114484	271372,380288
5,08	7,111461	271262,110207
5,1	7,202127	274717,481197
5,12	7,247168	276436,409531
5,14	7,283763	277841,419028
5,16	7,385356	281715,657689
5,18	7,370256	281138,398978
5,2	7,483216	285441,540438
5,22	7,522401	286944,105186
5,24	7,585814	289358,33635
5,26	7,673414	292717,385384
5,28	7,672854	292687,324243
5,3	7,80651	297783,336835
5,32	7,800114	297550,235609
5,34	7,911624	301798,921148
5,36	7,975296	304229,343298
5,38	7,988873	304739,94336
5,4	8,106193	309210,390965
5,42	8,108574	309303,640905
5,44	8,100904	309016,444704
5,46	8,170497	311682,971845
5,48	8,262611	315186,494431
5,5	8,256147	314945,19976
5,52	8,41186	320870,784401
5,54	8,419598	321172,219931
5,56	8,513723	324759,014045
5,58	8,60236	328136,008631
5,6	8,621969	328883,544934
5,62	8,779241	334891,626113
5,64	8,779123	334888,465497
5,66	8,903015	339613,103705
5,68	8,947989	341334,961799
5,7	9,016463	343949,630541
5,72	9,157802	349338,634031
5,74	9,167476	349707,2562
5,76	9,317338	355418,673162
5,78	9,333083	356020,879984
5,8	9,434745	359895,740456
5,82	9,544966	364109,609533
5,84	9,539088	363870,562524
5,86	9,538675	363861,059459
5,88	9,665286	368696,890922
5,9	9,723756	370923,150287
5,92	9,779806	373063,348539
5,94	9,931279	378846,67647
5,96	9,935744	379014,163594
5,98	10,127774	386340,485575
6	10,160054	387584,679084
6,02	10,271346	391822,5867
6,04	10,386259	396213,810034
6,06	10,404538	396906,869035
6,08	10,616115	404979,397735
6,1	10,610162	404752,810331
6,12	10,754482	410263,03125
6,14	10,849837	413895,232716
6,16	10,893867	415582,294128
6,18	11,056359	421782,192256
6,2	11,046208	421404,979541
6,22	11,246481	429036,007121
6,24	11,295768	430921,353935
6,26	11,303516	431230,941686
6,28	11,302799	431184,897401
6,3	11,530639	439885,191589
6,32	11,521626	439549,138966
6,34	11,680245	445597,071306
6,36	11,781241	449444,093817
6,38	11,834738	451484,957136
6,4	12,040096	459340,176619
6,42	12,039437	459290,548917
6,44	12,222813	466284,943701
6,46	12,277192	468382,556347
6,48	12,375748	472136,627097
6,5	12,524096	477784,585433
6,52	12,534157	478172,852293
6,54	12,768966	487150,551197
6,56	12,768329	487096,370106
6,58	12,914383	492684,936239
6,6	13,025195	496908,337993
6,62	13,061103	498276,223743
6,64	13,283289	506750,062663
6,66	13,281553	506700,82783
6,68	13,276457	506497,140349
6,7	13,361998	509763,886299
6,72	13,521122	515838,581146
6,74	13,526038	516005,907852
6,76	13,755164	524738,123131
6,78	13,776064	525550,35284
6,8	13,894806	530081,494951
6,82	14,031063	535281,470265
6,84	14,046684	535861,807822
6,86	14,264675	544195,107147
6,88	14,24884	543602,002328
6,9	14,403213	549481,561556
6,92	14,488212	552727,530009
6,94	14,535573	554534,093012
6,96	14,69745	560710,450957
6,98	14,693593	560569,44027
7	14,892351	568145,617471
7,02	14,918871	569161,945273
7,04	15,013393	572739,918996
7,06	15,127865	577134,091049
7,08	15,126142	577064,119744
7,1	15,12747	577116,271135
7,12	15,265514	582372,400119
7,14	15,346648	585473,247011
7,16	15,395578	587341,086222
7,18	15,562933	593713,358715
7,2	15,567	593878,74395
7,22	15,741596	600557,934105
7,24	15,779611	601989,286962
7,26	15,856278	604920,654969
7,28	15,981798	609707,860882
7,3	15,983474	609771,62873
7,32	16,195841	617862,973298
7,34	16,19843	617983,92868
7,36	16,311829	622300,606103
7,38	16,401033	625691,035555
7,4	16,427187	626695,434251
7,42	16,604251	633452,189854
7,44	16,604548	633454,927049
7,46	16,744015	638776,478073
7,48	16,789163	640509,223983
7,5	16,784703	640351,108193
7,52	16,785	640355,205956
7,54	16,988063	648094,918927
7,56	16,987978	648079,335812
7,58	17,099144	652340,295909
7,6	17,181551	655476,95584
7,62	17,213352	656694,333332
7,64	17,376747	662930,273617
7,66	17,37995	663069,096476
7,68	17,512224	668119,764421
7,7	17,555601	669748,598828
7,72	17,621413	672233,218818
7,74	17,754905	677351,107311
7,76	17,753811	677314,191486
7,78	17,905678	683090,87811
7,8	17,91948	683609,505807
7,82	18,015201	687271,299701
7,84	18,108165	690805,543994
7,86	18,115715	691120,259485
7,88	18,26434	696773,854034
7,9	18,266089	696866,841227
7,92	18,27027	697027,921448
7,94	18,318318	698836,74952
7,96	18,424442	702879,079583
7,98	18,425428	702926,713961
8	18,577933	708737,008254
8,02	18,591565	709248,596781
8,04	18,676886	712542,299659
8,06	18,768977	716042,186341
8,08	18,776685	716331,861124
8,1	18,910781	721440,558468
8,12	18,911103	721470,280409
8,14	19,016719	725494,029749
8,16	19,084657	728056,221401
8,18	19,116553	729276,587307
8,2	19,212621	732962,201907
8,22	19,212835	732983,362614
8,24	19,344797	738006,691364
8,26	19,369978	738939,756996
8,28	19,436475	741498,941718
8,3	19,522288	744788,84836
8,32	19,519485	744684,397414
8,34	19,523727	744835,878258
8,36	19,605308	747943,827446
8,38	19,659744	750030,3904
8,4	19,695626	751407,886753
8,42	19,819677	756146,859013
8,44	19,812282	755863,216159
8,46	19,929141	760317,285677
8,48	19,956655	761413,179322
8,5	20,007535	763316,515193
8,52	20,093027	766580,318962
8,54	20,093796	766635,344721
8,56	20,22971	771800,391029
8,58	20,231148	771870,255903
8,6	20,301631	774528,557652
8,62	20,358589	776718,646408
8,64	20,379585	777501,886785
8,66	20,48426	781512,74239
8,68	20,48997	781738,963304
8,7	20,565897	784627,279066
8,72	20,602114	786007,179956
8,74	20,594253	785715,142413
8,76	20,594554	785729,21852
8,78	20,7171	790401,684566
8,8	20,726983	790770,162721
8,82	20,779589	792780,228687
8,84	20,832013	794770,925588
8,86	20,853006	795578,43801
8,88	20,933691	798666,816677
8,9	20,929606	798518,814269
8,92	20,992775	800908,172363
8,94	21,010518	801595,609285
8,96	21,039098	802684,359149
8,98	21,095798	804848,19745
9	21,090159	804623,415053
9,02	21,147906	806813,371141
9,04	21,148531	806850,406012
9,06	21,180364	808088,377498
9,08	21,211355	809228,52641
9,1	21,214462	809361,227266
9,12	21,247188	810633,833005
9,14	21,24607	810577,138391
9,16	21,243516	810458,753898
9,18	21,246533	810604,583539
9,2	21,246162	810585,64558
9,22	21,24777	810657,655621
9,24	21,263717	811244,778038
9,26	21,294647	812442,687657
9,28	21,299825	812651,778203
9,3	21,293887	812405,309862
9,32	21,299837	812642,318976
9,34	21,296291	812482,57145
9,36	21,294744	812460,286624
