TIME [s]	VITESSE [m/s]	NBR REYNOLDS
0,02	0,530286	20293,485329
0,04	0,753885	28849,741112
0,06	0,645309	24695,025746
0,08	0,651748	24941,208896
0,1	0,671297	25689,804239
0,12	0,542742	20769,551627
0,14	0,74833	28637,081023
0,16	0,579194	22164,651413
0,18	0,598338	22896,955204
0,2	0,611446	23398,634305
0,22	0,542743	20769,533263
0,24	0,998763	38220,677315
0,26	0,839362	32121,568498
0,28	1,388516	53137,266904
0,3	0,843743	32288,647768
0,32	0,857973	32832,866308
0,34	0,656202	25112,426658
0,36	0,636184	24346,211164
0,38	0,727394	27836,408819
0,4	0,776256	29705,50508
0,42	0,569016	21775,208881
0,44	0,582773	22302,365136
0,46	0,531866	20353,44128
0,48	0,392862	15033,974914
0,5	0,570477	21831,350305
0,52	0,61688	23606,708112
0,54	0,487653	18661,689419
0,56	0,634871	24295,949876
0,58	0,653025	24990,234997
0,6	0,577747	22109,51606
0,62	0,75055	28722,467143
0,64	0,676249	25879,489133
0,66	0,578464	22137,249111
0,68	1,521956	58241,897387
0,7	1,476251	56492,632749
0,72	0,534216	20443,305241
0,74	0,678115	25949,897493
0,76	0,645967	24719,525698
0,78	0,580626	22219,877035
0,8	0,419568	16056,323323
0,82	0,807342	30895,805742
0,84	0,563121	21549,423124
0,86	0,429406	16432,422737
0,88	0,744407	28487,48716
0,9	0,601808	23030,172038
0,92	0,549607	21032,963965
0,94	0,427451	16358,007816
0,96	0,647241	24769,27716
0,98	0,676262	25879,230562
1	0,72337	27682,214401
1,02	0,444683	17017,155091
1,04	0,743292	28444,396734
1,06	0,584939	22383,979077
1,08	0,390736	14952,357579
1,1	1,439088	55070,22236
1,12	1,495077	57212,797001
1,14	0,622932	23838,725969
1,16	0,704079	26943,663842
1,18	0,400231	15315,853371
1,2	0,677499	25926,33712
1,22	0,678739	25973,254306
1,24	0,560147	21435,722066
1,26	0,628276	24042,799764
1,28	0,709387	27147,1916
1,3	0,893715	34200,413444
1,32	0,737668	28228,46247
1,34	0,544279	20828,294196
1,36	0,889026	34021,383621
1,38	0,80787	30915,33722
1,4	0,784808	30032,957463
1,42	0,766516	29332,858054
1,44	0,676879	25902,830887
1,46	0,911258	34873,471484
1,48	0,889025	34021,400667
1,5	0,800091	30617,215468
1,52	0,618904	23684,302559
1,54	0,783736	29992,390545
1,56	0,925823	35429,331096
1,58	0,804752	30796,76507
1,6	0,732546	28033,179517
1,62	0,863782	33055,670082
1,64	0,450287	17231,122361
1,66	0,926261	35446,838579
1,68	0,516744	19774,639538
1,7	0,564601	21606,090627
1,72	0,099692	3815,109396
1,74	0,100466	3844,712805
1,76	0,459453	17582,438778
1,78	0,288774	11050,883453
1,8	0,070219	2687,138354
1,82	0,457804	17519,194892
1,84	0,564738	21611,339054
1,86	0,308342	11799,839721
1,88	0,482653	18470,236044
1,9	0,741705	28383,960607
1,92	0,733226	28058,918387
1,94	0,638929	24450,961017
1,96	1,381356	52862,318701
1,98	1,071279	40995,106915
2	0,539014	20627,663715
2,02	0,807431	30899,622975
2,04	0,677596	25931,077964
2,06	0,785433	30057,186617
2,08	0,68252	26118,634966
2,1	0,829366	31738,57992
2,12	1,012033	38729,280566
2,14	0,825827	31603,68665
2,16	0,980626	37526,8757
2,18	0,966045	36969,056827
2,2	1,05997	40563,75011
2,22	1,110358	42491,580851
2,24	1,066271	40803,694971
2,26	1,150249	44017,313126
2,28	1,134557	43415,803268
2,3	1,32868	50847,025903
2,32	1,243697	47593,094994
2,34	1,332466	50990,601078
2,36	1,360661	52070,088709
2,38	1,218945	46646,432954
2,4	1,359736	52034,972937
2,42	1,403542	53710,91375
2,44	1,378039	52734,773521
2,46	1,450037	55490,967717
2,48	1,48923	56990,541448
2,5	1,536695	58805,765574
2,52	1,570239	60091,647784
2,54	1,550993	59354,658439
2,56	1,583228	60587,54788
2,58	1,680646	64316,4935
2,6	1,654149	63300,486658
2,62	1,775337	67939,156418
2,64	1,730084	66208,128295
2,66	1,807012	69152,049934
2,68	1,772277	67822,148093
2,7	1,875733	71779,113516
2,72	1,926645	73728,390578
2,74	1,980233	75781,252605
2,76	2,064215	78995,817439
2,78	2,025423	77512,162467
2,8	1,960554	75027,059278
2,82	2,039424	78045,724194
2,84	2,056536	78700,887952
2,86	2,03984	78061,237484
2,88	2,196118	84040,562889
2,9	2,16659	82914,404921
2,92	2,184101	83581,385954
2,94	2,241419	85775,928643
2,96	2,303321	88144,265613
2,98	2,341036	89589,062445
3	2,345864	89772,652081
3,02	2,434052	93147,217899
3,04	2,487832	95204,028241
3,06	2,497844	95589,113477
3,08	2,467114	94411,080726
3,1	2,535027	97010,073136
3,12	2,637641	100937,722967
3,14	2,668841	102128,438711
3,16	2,658446	101733,814415
3,18	2,728761	104426,21557
3,2	2,720354	104103,44426
3,22	2,670822	102207,258701
3,24	2,792156	106849,365257
3,26	2,863399	109578,131813
3,28	2,882608	110311,209737
3,3	2,924325	111905,724324
3,32	2,91857	111687,896102
3,34	3,051476	116777,171662
3,36	3,026699	115824,354465
3,38	3,134335	119947,431783
3,4	3,179962	121692,193326
3,42	3,146319	120404,668337
3,44	3,301109	126330,689347
3,46	3,273718	125280,695879
3,48	3,274123	125294,854142
3,5	3,327626	127341,047178
3,52	3,373476	129094,943184
3,54	3,479379	133144,328211
3,56	3,510197	134330,258153
3,58	3,498577	133882,581962
3,6	3,547564	135760,474041
3,62	3,517244	134597,617679
3,64	3,555768	136075,69212
3,66	3,667102	140340,039932
3,68	3,626831	138798,410167
3,7	3,700734	141627,85736
3,72	3,765462	144104,819869
3,74	3,772387	144372,815872
3,76	3,885683	148711,493504
3,78	3,903264	149383,853326
3,8	3,982413	152413,953063
3,82	3,98903	152665,943646
3,84	4,032459	154331,657411
3,86	4,148611	158773,410363
3,88	4,105404	157121,702024
3,9	4,232427	161982,972175
3,92	4,268088	163352,266346
3,94	4,304528	164745,120721
3,96	4,325243	165536,778591
3,98	4,338409	166042,498336
4	4,475471	171285,290028
4,02	4,463673	170835,786293
4,04	4,466435	170938,43404
4,06	4,514262	172770,750347
4,08	4,541813	173825,399245
4,1	4,541012	173793,201478
4,12	4,663364	178479,051876
4,14	4,648689	177916,042285
4,16	4,760304	182185,942915
4,18	4,77989	182941,253106
4,2	4,807113	183979,400508
4,22	4,888649	187098,638986
4,24	4,902775	187640,625263
4,26	5,005686	191580,157261
4,28	5,032487	192599,203925
4,3	5,089544	194787,729006
4,32	5,196074	198865,22816
4,34	5,180565	198270,871452
4,36	5,26438	201478,764069
4,38	5,23317	200286,979476
4,4	5,337395	204275,388757
4,42	5,405822	206890,350989
4,44	5,403289	206797,102381
4,46	5,407291	206950,984294
4,48	5,506503	210746,16098
4,5	5,500658	210522,876466
4,52	5,572332	213266,132909
4,54	5,615106	214905,870662
4,56	5,648286	216176,602382
4,58	5,775633	221045,327366
4,6	5,769018	220794,305307
4,62	5,853419	224018,645085
4,64	5,867974	224578,124898
4,66	5,921208	226623,905579
4,68	6,00821	229955,129773
4,7	6,000326	229651,124928
4,72	6,160411	235775,194924
4,74	6,151627	235429,347106
4,76	6,214007	237819,730112
4,78	6,27937	240327,330461
4,8	6,286809	240612,011768
4,82	6,439008	246437,766642
4,84	6,424333	245876,831162
4,86	6,409536	245308,781475
4,88	6,458414	247177,031031
4,9	6,55702	250955,40591
4,92	6,541788	250365,19818
4,94	6,683314	255786,521021
4,96	6,698509	256365,693957
4,98	6,77478	259290,877502
5	6,835614	261615,111692
5,02	6,858791	262504,617
5,04	6,999873	267897,822633
5,06	6,986917	267409,476454
5,08	7,098743	271684,466432
5,1	7,151368	273689,695119
5,12	7,187946	275094,903389
5,14	7,299768	279380,779191
5,16	7,291686	279069,109632
5,18	7,387214	282724,506225
5,2	7,420949	284017,023676
5,22	7,485847	286493,600933
5,24	7,564167	289499,720073
5,26	7,555065	289151,015336
5,28	7,560348	289354,23296
5,3	7,667635	293464,750958
5,32	7,704469	294869,784442
5,34	7,757076	296884,361518
5,36	7,847597	300340,731201
5,38	7,842	300136,638661
5,4	7,989055	305753,833317
5,42	8,015797	306790,101067
5,44	8,071704	308921,527532
5,46	8,172265	312769,288343
5,48	8,181709	313139,57704
5,5	8,292232	317364,481495
5,52	8,31478	318225,429399
5,54	8,41479	322047,803987
5,56	8,515427	325906,574909
5,58	8,538603	326788,965123
5,6	8,62885	330244,605085
5,62	8,634307	330456,650702
5,64	8,772535	335741,093148
5,66	8,805145	336992,44366
5,68	8,821269	337610,805605
5,7	8,814357	337349,234188
5,72	8,986878	343949,572926
5,74	8,988457	344007,24798
5,76	9,094098	348064,119514
5,78	9,193435	351853,155453
5,8	9,217647	352784,807229
5,82	9,389097	359337,322603
5,84	9,374453	358790,623534
5,86	9,533738	364876,834706
5,88	9,580278	366663,4263
5,9	9,666476	369957,528694
5,92	9,784861	374482,82571
5,94	9,786199	374543,159899
5,96	9,968871	381531,8036
5,98	9,999749	382718,957423
6	10,109397	386917,799266
6,02	10,207924	390687,086807
6,04	10,224207	391308,696904
6,06	10,416134	398659,528889
6,08	10,399834	398020,43038
6,1	10,402235	398119,804768
6,12	10,483817	401240,483786
6,14	10,631808	406901,249675
6,16	10,636422	407078,810868
6,18	10,866908	415909,868428
6,2	10,896813	417054,686205
6,22	10,994051	420768,123197
6,24	11,100455	424833,848268
6,26	11,132233	426059,91805
6,28	11,354361	434561,108727
6,3	11,361058	434812,481221
6,32	11,520313	440900,468008
6,34	11,586415	443432,148004
6,36	11,658021	446176,12772
6,38	11,821467	452435,056422
6,4	11,841607	453209,926697
6,42	12,034034	460576,438669
6,44	12,073475	462075,099325
6,46	12,162418	465477,327079
6,48	12,313884	471273,898611
6,5	12,309621	471128,31202
6,52	12,301606	470800,269211
6,54	12,46492	477049,818984
6,56	12,550053	480312,558413
6,58	12,607794	482525,211354
6,6	12,833658	491180,38495
6,62	12,819358	490634,176377
6,64	13,009285	497910,622017
6,66	13,068288	500156,175008
6,68	13,167323	503944,04035
6,7	13,328183	510091,395978
6,72	13,321771	509852,941391
6,74	13,557981	518886,227717
6,76	13,565939	519193,273424
6,78	13,70108	524377,475035
6,8	13,805868	528393,668872
6,82	13,848658	530031,467239
6,84	14,06079	538132,383343
6,86	14,060594	538134,689975
6,88	14,226415	544490,733546
6,9	14,287135	546823,982267
6,92	14,279277	546538,723137
6,94	14,284476	546720,554637
6,96	14,514817	555543,296615
6,98	14,519368	555705,03727
7	14,666265	561330,076184
7,02	14,788478	566006,75167
7,04	14,819264	567181,327451
7,06	14,997347	574017,526525
7,08	14,997355	573996,000219
7,1	15,166534	580476,12536
7,12	15,22293	582656,202038
7,14	15,298835	585548,172054
7,16	15,45187	591406,841018
7,18	15,458814	591659,549167
7,2	15,642732	598728,210592
7,22	15,678718	600102,916598
7,24	15,770488	603617,734903
7,26	15,880538	607800,329228
7,28	15,88909	608159,336781
7,3	16,099674	616200,409031
7,32	16,098374	616147,844291
7,34	16,096068	616053,398525
7,36	16,145918	617970,562469
7,38	16,302164	623930,713024
7,4	16,301533	623937,794579
7,42	16,471708	630449,233243
7,44	16,509995	631923,312636
7,46	16,60902	635726,693462
7,48	16,720465	639968,394703
7,5	16,722173	640055,213587
7,52	16,921228	647657,662038
7,54	16,924143	647789,297045
7,56	17,0463	652459,261008
7,58	17,128231	655594,707701
7,6	17,167605	657122,954068
7,62	17,319674	662932,277415
7,64	17,311597	662612,025832
7,66	17,467477	668585,821647
7,68	17,50906	670171,886534
7,7	17,584586	673056,733546
7,72	17,708526	677813,29278
7,74	17,690682	677131,653016
7,76	17,70126	677532,851898
7,78	17,801009	681349,692562
7,8	17,875213	684185,114528
