TIME [s]	VITESSE [m/s]	NBR REYNOLDS
0,02	0,457437	17462,988573
0,04	0,469172	17911,664139
0,06	0,514289	19634,354198
0,08	0,547427	20898,474678
0,1	0,498604	19034,319083
0,12	0,672348	25668,02051
0,14	0,489272	18678,577762
0,16	1,422047	54286,658906
0,18	1,416658	54082,394837
0,2	0,775844	29618,794201
0,22	0,509403	19446,563984
0,24	0,614438	23457,216069
0,26	0,59717	22797,503643
0,28	0,936708	35759,373243
0,3	0,694402	26509,968503
0,32	0,67545	25786,692679
0,34	0,35071	13389,323763
0,36	0,472731	18047,343137
0,38	0,767167	29287,242931
0,4	0,637187	24325,427434
0,42	0,492665	18809,150763
0,44	0,548934	20957,199396
0,46	0,534251	20396,474082
0,48	0,770961	29433,053023
0,5	0,45559	17393,225249
0,52	0,416208	15890,119023
0,54	0,698593	26670,914072
0,56	0,629232	24022,999776
0,58	1,352288	51626,056339
0,6	1,013936	38709,665562
0,62	0,645006	24624,941059
0,64	0,263459	10058,622415
0,66	0,92363	35261,627904
0,68	0,607573	23195,930598
0,7	0,721569	27549,028723
0,72	0,548928	20957,328423
0,74	0,144407	5513,165589
0,76	0,663557	25333,38632
0,78	0,644353	24600,226098
0,8	0,699185	26693,942978
0,82	0,581518	22201,393062
0,84	0,609631	23274,83192
0,86	0,478	18249,369814
0,88	0,746666	28506,758282
0,9	0,214405	8185,687193
0,92	0,538933	20575,15763
0,94	0,742742	28356,32095
0,96	0,691366	26394,937925
0,98	0,619188	23638,626044
1	0,950061	36271,620013
1,02	0,773121	29516,047753
1,04	0,808588	30869,989102
1,06	0,076046	2903,289302
1,08	0,843066	32185,833277
1,1	0,722169	27570,7556
1,12	0,519948	19850,846033
1,14	0,527148	20125,511496
1,16	0,528732	20186,085971
1,18	0,711067	27147,067613
1,2	0,639791	24425,94902
1,22	0,633202	24175,098652
1,24	0,782276	29865,319831
1,26	0,647586	24724,075584
1,28	0,78119	29824,745122
1,3	0,729091	27835,068683
1,32	0,823459	31438,078686
1,34	0,729092	27835,058891
1,36	0,932176	35589,414995
1,38	0,876656	33468,400191
1,4	0,645009	24624,864536
1,42	0,437951	16720,401942
1,44	0,76441	29183,369714
1,46	0,940239	35896,384335
1,48	0,694999	26533,088693
1,5	0,923624	35261,749883
1,52	0,746116	28485,129493
1,54	0,672335	25668,28764
1,56	0,834567	31862,231597
1,58	0,253753	9687,679753
1,6	0,761113	29057,745152
1,62	0,629241	24022,813848
1,64	0,581534	22201,062428
1,66	0,672324	25668,53146
1,68	0,780123	29783,681196
1,7	0,772035	29474,723635
