TIME [s]	VITESSE [m/s]	NBR REYNOLDS
0,02	0,631302	24120,09008
0,04	0,706729	27001,186496
0,06	0,584675	22338,123453
0,08	0,552404	21105,206654
0,1	0,550138	21018,446949
0,12	0,291523	11137,998492
0,14	0,8274	31612,049255
0,16	0,336661	12862,489253
0,18	0,596673	22796,691037
0,2	0,546353	20872,772613
0,22	0,37642	14381,769304
0,24	0,629983	24069,505436
0,26	0,820319	31341,233614
0,28	0,4011	15324,089297
0,3	0,653374	24963,312228
0,32	0,312245	11929,517983
0,34	1,068527	40824,583235
0,36	1,102717	42130,482494
0,38	1,327127	50703,659589
0,4	0,604319	23088,346205
0,42	0,682109	26060,583101
0,44	0,597367	22823,454997
0,46	0,502607	19202,496506
0,48	0,413379	15793,6884
0,5	0,547851	20931,556102
0,52	0,624016	23840,450279
0,54	0,622667	23789,569139
0,56	0,43404	16583,366811
0,58	0,578941	22119,060641
0,6	0,613905	23454,48922
0,62	0,690007	26362,534928
0,64	0,3841	14674,948678
0,66	0,30412	11619,49431
0,68	0,626	23917,283388
0,7	0,514089	19641,262298
0,72	0,722484	27603,097871
0,74	0,586814	22419,644696
0,76	0,545566	20844,065244
0,78	1,546049	59067,078924
0,8	1,539235	58807,105227
0,82	0,682716	26084,012561
0,84	0,74072	28299,978259
0,86	0,526109	20100,845765
0,88	0,717269	27403,971731
0,9	0,615247	23506,625026
0,92	0,706729	27001,186496
0,94	0,784471	29971,081251
0,96	0,674731	25778,845427
0,98	0,727659	27800,873999
1	0,56213	21476,863948
1,02	0,543278	20756,086122
1,04	0,483155	18458,944833
1,06	0,65529	25036,279073
1,08	0,629988	24069,405067
1,1	0,617952	23609,978662
1,12	0,404203	15442,865378
1,14	0,834932	31899,417319
1,16	0,625337	23891,731789
1,18	0,473559	18092,743751
1,2	1,548157	59150,447228
1,22	1,535154	58651,884846
1,24	0,724229	27668,850095
1,26	0,731654	27953,806312
1,28	0,452852	17301,743678
1,3	0,64244	24545,175524
1,32	0,679644	25967,311152
1,34	0,706721	27001,345077
1,36	0,742962	28386,000728
1,38	0,739589	28257,008366
1,4	0,821853	31399,212677
1,42	0,83793	32013,542743
1,44	0,665406	25422,014029
1,46	0,736758	28149,239198
1,48	0,886773	33879,34095
1,5	0,825379	31534,986937
1,52	0,777526	29705,985732
1,54	0,567303	21674,256414
1,56	0,851249	32523,066435
1,58	0,564355	21561,645735
1,6	0,606388	23167,243225
1,62	1,635919	62502,23732
1,64	1,518477	58015,783499
1,66	0,720749	27536,901772
1,68	0,751901	28726,782909
1,7	0,656574	25084,584507
1,72	0,518928	19826,431463
1,74	0,514083	19641,385152
1,76	0,466458	17821,650404
1,78	0,526114	20100,758404
1,8	0,216285	8263,354047
1,82	0,466618	17828,117772
1,84	0,632102	24149,623465
1,86	0,507704	19397,734063
1,88	0,153064	5847,897788
1,9	0,460327	17587,361599
1,92	0,542647	20732,302921
1,94	0,669889	25593,581176
1,96	0,703289	26869,814116
1,98	0,811223	30993,134675
2	0,795632	30398,695282
2,02	0,77333	29545,306925
2,04	0,906829	34646,979787
