TIME [s]	VITESSE [m/s]	NBR REYNOLDS
0,02	0,175861	6720,065892
0,04	0,588878	22502,26793
0,06	0,477885	18261,334253
0,08	0,720675	27538,437663
0,1	0,585331	22366,516018
0,12	0,496714	18980,389819
0,14	0,394766	15084,85935
0,16	0,760088	29044,625693
0,18	0,515651	19704,334348
0,2	0,714285	27294,161287
0,22	0,57237	21871,091814
0,24	0,464629	17754,006134
0,26	0,671551	25662,242546
0,28	0,288615	11028,853334
0,3	0,625931	23918,694731
0,32	0,64626	24694,812057
0,34	0,717761	27428,019079
0,36	0,480506	18360,851379
0,38	0,506675	19361,624782
0,4	1,543701	58988,478408
0,42	1,243949	47534,345652
0,44	0,635201	24272,096405
0,46	0,722416	27604,519864
0,48	0,578885	22120,221578
0,5	0,35236	13464,344359
0,52	0,710768	27160,154473
0,54	0,466422	17822,400474
0,56	0,737265	28172,071938
0,58	0,653944	24989,107589
0,6	0,604253	23089,718727
0,62	0,594508	22717,790831
0,64	0,641723	24521,766745
0,66	0,407244	15561,514237
0,68	0,759548	29023,489939
0,7	0,665321	25423,782168
0,72	0,751266	28707,23298
0,74	0,6319	24146,609153
0,76	0,618573	23636,858442
0,78	0,63717	24347,162948
0,8	0,439731	16802,864806
0,82	1,085059	41463,176964
0,84	0,925327	35358,368
0,86	0,577439	22065,210088
0,88	0,474393	18127,296621
0,9	0,585323	22366,694075
0,92	0,527641	20162,38118
0,94	0,673427	25732,963122
0,96	0,518887	19827,288633
0,98	0,656495	25086,232637
1	0,640418	24472,170657
1,02	0,552338	21106,563016
1,04	0,701318	26799,198524
1,06	0,420341	16062,001019
1,08	0,549314	20990,814974
1,1	0,503375	19235,424384
1,12	0,751816	28728,535346
1,14	0,593821	22690,669349
1,16	0,689938	26363,950352
1,18	0,446307	17054,804887
1,2	0,739518	28258,493145
1,22	0,322716	12331,675795
1,24	0,903525	34525,444025
1,26	0,915364	34977,505893
1,28	0,631909	24146,423309
1,3	0,391587	14963,264502
1,32	0,727014	27780,459907
1,34	0,795473	30396,251658
1,36	0,762825	29149,241937
1,38	0,791788	30255,92035
1,4	0,841317	32148,214824
1,42	0,776886	29687,632381
1,44	0,677754	25897,879549
1,46	0,729306	27867,919667
1,48	0,690534	26387,199531
1,5	0,781725	29871,104854
1,52	0,7568	28918,407454
1,54	0,626592	23944,241383
1,56	0,804328	30734,918484
1,58	0,761187	29086,457
1,6	0,643027	24571,248905
1,62	0,266069	10167,241442
1,64	0,621255	23739,810401
1,66	0,884881	33812,743735
1,68	0,874342	33411,439369
1,7	0,138201	5280,993906
1,72	0,59592	22771,088412
1,74	0,537045	20521,336525
1,76	0,15791	6034,190874
1,78	0,317751	12141,908657
1,8	0,26321	10058,039177
1,82	0,550215	21025,121596
1,84	0,46029	17588,12092
1,86	0,473668	18100,115986
1,88	0,342981	13106,464763
1,9	0,198154	7571,909056
1,92	0,568847	21736,795845
1,94	0,640543	24476,682542
1,96	0,78395	29956,36167
1,98	0,744679	28455,66043
2	0,756881	28922,73977
2,02	0,656616	25090,672422
2,04	0,63598	24301,781332
2,06	0,813181	31073,54767
2,08	0,933033	35653,104672
2,1	0,959476	36663,045592
2,12	0,895637	34224,590712
2,14	0,866295	33103,524945
2,16	0,940589	35942,382412
2,18	1,184598	45267,595275
2,2	1,079693	41256,566988
2,22	1,079675	41256,95117
2,24	1,147061	43832,664978
2,26	1,202082	45934,710662
2,28	1,354093	51742,807855
2,3	1,377304	52629,085074
2,32	1,353469	51719,432869
2,34	1,349155	51554,288482
2,36	1,39714	53386,972846
2,38	1,418743	54213,21416
2,4	1,394154	53272,813696
2,42	1,459282	55763,445469
2,44	1,450136	55412,51378
2,46	1,602284	61226,414221
2,48	1,607988	61444,951842
2,5	1,536676	58719,294858
2,52	1,557914	59533,629923
2,54	1,719263	65696,309337
2,56	1,624728	62086,08248
2,58	1,773211	67758,176494
2,6	1,730375	66121,306562
2,62	1,763057	67371,082232
2,64	1,825109	69741,659274
2,66	1,765898	67479,305319
2,68	1,940043	74133,36245
2,7	1,941756	74199,137311
2,72	1,986983	75926,029449
2,74	2,01383	76954,082936
2,76	2,017359	77088,193762
2,78	2,061489	78775,87044
2,8	2,057062	78605,138293
2,82	2,137755	81688,899032
2,84	2,255224	86178,564486
2,86	2,245463	85802,173913
2,88	2,298279	87822,328569
2,9	2,284457	87293,836077
2,92	2,230123	85219,76623
2,94	2,259448	86341,366489
2,96	2,328199	88965,422333
2,98	2,319033	88616,101123
3	2,286468	87370,404154
3,02	2,394613	91501,308013
3,04	2,390075	91328,321083
3,06	2,447968	93541,327171
3,08	2,507334	95811,594142
3,1	2,507876	95829,751853
3,12	2,637669	100789,567995
3,14	2,632578	100596,68623
3,16	2,677575	102320,032622
3,18	2,743456	104834,338573
3,2	2,711501	103613,857881
3,22	2,840329	108538,194027
3,24	2,80013	107001,639483
3,26	2,897265	110715,48461
3,28	2,952885	112838,659559
3,3	2,990135	114266,05242
3,32	3,042022	116245,542119
3,34	3,00407	114797,023788
3,36	3,005029	114834,397495
3,38	3,128517	119549,683425
3,4	3,151398	120429,17642
3,42	3,177897	121440,489061
3,44	3,242333	123901,362251
3,46	3,220108	123054,113848
3,48	3,329606	127236,92027
3,5	3,320523	126893,15104
3,52	3,383693	129307,338842
3,54	3,484265	133147,176797
3,56	3,493404	133500,02491
3,58	3,519715	134503,212124
3,6	3,511227	134182,915501
3,62	3,625433	138543,002576
3,64	3,684562	140799,679332
3,66	3,760295	143698,607647
3,68	3,816549	145846,777331
3,7	3,825397	146184,252625
3,72	3,9098	149409,146338
3,74	3,898816	148988,607185
3,76	3,880664	148297,320872
3,78	3,90931	149387,873227
3,8	3,982118	152175,500309
3,82	4,006226	153090,688302
3,84	4,080432	155927,951271
3,86	4,17241	159440,121748
3,88	4,140196	158216,0868
3,9	4,245558	162238,034741
3,92	4,243389	162161,434886
3,94	4,340233	165856,187763
3,96	4,376269	167234,669416
3,98	4,423316	169034,987733
4	4,482528	171294,96708
4,02	4,474593	170993,102478
4,04	4,605874	176010,769933
4,06	4,596222	175644,757257
4,08	4,680379	178858,651521
4,1	4,67809	178769,569355
4,12	4,733054	180878,083816
4,14	4,793089	183162,136033
4,16	4,794109	183207,635604
4,18	4,775851	182502,605473
4,2	4,851643	185397,908208
