TIME [s]	VITESSE [m/s]	NBR REYNOLDS
0,02	0,577142	22036,722159
0,04	0,402895	15383,372168
0,06	0,008813	336,502179
0,08	0,586505	22393,58128
0,1	0,702121	26809,042865
0,12	0,611648	23354,144855
0,14	0,612337	23380,16427
0,16	0,523123	19974,145768
0,18	0,815736	31146,864473
0,2	0,467345	17844,22153
0,22	0,644958	24625,922294
0,24	0,52552	20065,549329
0,26	0,266897	10190,588795
0,28	1,207273	46096,241551
0,3	1,038029	39632,736655
0,32	1,448346	55301,840726
0,34	0,753869	28784,716914
0,36	0,5971	22798,936748
0,38	0,683404	26093,618827
0,4	0,45371	17323,723942
0,42	0,383745	14651,868579
0,44	0,555728	21218,180069
0,46	0,573505	21897,819004
0,48	0,601301	22958,773431
0,5	0,713954	27260,262351
0,52	0,395561	15103,03296
0,54	0,615741	23510,387732
0,56	0,570586	21785,90663
0,58	0,646896	24700,288537
0,6	0,642357	24526,616026
0,62	0,655911	25043,359512
0,64	0,183204	6994,938057
0,66	0,666028	25430,544623
0,68	0,563948	21532,283254
0,7	0,104691	3997,339043
0,72	1,565885	59789,063027
0,74	1,173807	44818,529522
0,76	0,198155	7566,224297
0,78	0,593584	22664,749167
0,8	0,506872	19353,428816
0,82	0,560949	21419,087581
0,84	0,545828	20841,402613
0,86	0,492619	18810,092795
0,88	0,495166	18907,07942
0,9	0,395546	15103,3452
0,92	0,568353	21702,290618
0,94	0,601276	22959,285803
0,96	0,683999	26117,355886
0,98	0,530267	20247,406305
1	0,72499	27682,66441
1,02	0,241903	9236,831464
1,04	0,605451	23117,93696
1,06	0,714528	27282,888966
1,08	0,666643	25454,789858
1,1	0,74379	28400,936758
1,12	0,495163	18907,126551
1,14	0,955245	36474,771733
1,16	1,026543	39197,571813
1,18	0,595684	22745,598275
1,2	0,505197	19290,694447
1,22	0,706876	26990,479368
1,24	0,601979	22985,692326
1,26	0,761011	29059,849862
1,28	0,478832	18283,66698
1,3	0,747716	28550,999315
1,32	0,732445	27967,998455
1,34	0,669769	25574,498803
1,36	0,811594	30990,296805
1,38	0,637749	24352,459203
1,4	0,764871	29206,073486
1,42	0,752752	28742,3983
1,44	0,739842	28250,098957
1,46	0,812105	31010,070883
1,48	0,75107	28678,87692
1,5	0,75882	28975,478136
1,52	0,797552	30453,924208
1,54	0,708041	27036,029826
1,56	0,776928	29665,735007
1,58	1,023264	39073,079527
1,6	0,833976	31844,918948
1,62	0,581464	22202,519961
1,64	0,708039	27036,081366
1,66	0,540416	20635,795502
1,68	0,653316	24946,477597
1,7	0,715685	27327,854486
1,72	0,468227	17878,64484
1,74	0,506851	19353,860165
1,76	0,304689	11634,397967
1,78	0,472671	18048,597845
1,8	0,582179	22230,065882
1,82	0,23698	9049,066541
1,84	0,313078	11954,282602
1,86	0,204393	7804,444502
1,88	0,346088	13215,155396
1,9	0,459372	17540,432268
1,92	0,762224	29105,46085
1,94	0,657914	25121,408196
1,96	0,465709	17782,228109
1,98	0,758936	28979,109743
2	0,603487	23043,851257
2,02	0,716964	27376,591484
2,04	0,760044	29021,080257
2,06	0,523256	19980,140341
2,08	0,766621	29272,369296
2,1	0,768801	29355,642934
2,12	0,919525	35110,860376
2,14	0,957436	36558,254811
2,16	1,116447	42630,930516
2,18	1,053168	40215,033979
2,2	1,00894	38525,193626
