TIME [s]	VITESSE [m/s]	NBR REYNOLDS
0,02	0,647288	24787,422152
0,04	0,582377	22301,610697
0,06	0,591573	22654,422912
0,08	0,454917	17421,269256
0,1	0,724852	27757,631018
0,12	0,777963	29791,674001
0,14	0,580225	22219,573446
0,16	0,549311	21035,596813
0,18	1,522842	58315,887287
0,2	1,212402	46428,930494
0,22	0,459469	17595,264077
0,24	0,613663	23499,524761
0,26	0,792785	30359,237398
0,28	0,599948	22975,074885
0,3	0,692592	26522,103011
0,32	0,757393	29003,439784
0,34	0,885441	33906,964605
0,36	0,819588	31386,353072
0,38	0,521351	19965,07018
0,4	0,531618	20358,117338
0,42	0,413771	15844,94014
0,44	0,741302	28387,342938
0,46	0,765566	29317,385095
0,48	0,429543	16449,120625
0,5	0,672494	25752,335754
0,52	0,378073	14477,706174
0,54	0,694991	26613,835799
0,56	0,570105	21832,087558
0,58	0,403593	15455,514669
0,6	0,948528	36323,75252
0,62	1,398761	53564,20976
0,64	1,477623	56584,14889
0,66	0,665649	25490,790913
0,68	0,507618	19438,935709
0,7	0,558317	21380,590341
0,72	0,585937	22437,837098
0,74	0,324837	12439,402418
0,76	0,539385	20655,34533
0,78	0,521353	19965,015961
0,8	0,629705	24114,275238
0,82	0,545506	20890,338699
0,84	0,589468	22573,403679
0,86	0,643428	24639,293252
0,88	0,5788	22164,436798
0,9	0,492664	18865,789232
0,92	0,470203	18006,214473
0,94	0,582383	22301,475752
0,96	0,578795	22164,534278
0,98	0,603407	23107,274733
1	0,592281	22681,20388
1,02	0,584515	22383,457112
1,04	1,348821	51652,276353
1,06	1,066863	40854,829352
1,08	0,556823	21323,553671
1,1	0,52374	20056,421896
1,12	0,716766	27448,670264
1,14	0,513325	19657,131916
1,16	0,323555	12390,289808
1,18	0,73225	28042,127616
1,2	0,177966	6815,237312
1,22	0,785956	30096,682004
1,24	0,61703	23629,117265
1,26	0,51493	19719,310936
1,28	0,657476	25178,043017
1,3	0,543998	20831,524264
1,32	0,677424	25940,982373
1,34	0,918605	35178,130591
1,36	0,816556	31269,237338
1,38	0,787516	30157,92738
1,4	0,912267	34934,244554
1,42	0,878387	33635,840692
1,44	0,606844	23238,77656
1,46	0,465931	17842,363839
1,48	0,648573	24836,53603
1,5	1,035238	39642,677455
1,52	0,737362	28236,69297
1,54	0,875032	33509,457466
1,56	0,766103	29338,277724
1,58	0,884486	33871,312427
1,6	0,886372	33943,062877
1,62	0,195371	7481,666684
1,64	0,884491	33871,201447
1,66	0,701527	26864,920399
1,68	0,593689	22734,772236
1,7	0,631024	24164,778362
1,72	0,383529	14686,801395
1,74	0,799583	30618,973897
1,76	0,289658	11092,15707
1,78	0,524532	20086,808412
1,8	0,445693	17067,545454
1,82	0,175179	6708,257169
1,84	0,292507	11201,703398
1,86	0,396503	15184,508578
1,88	0,88082	33730,05527
1,9	0,909619	34832,515284
1,92	0,852418	32642,997486
1,94	0,225382	8630,784152
1,96	0,340072	13022,977206
1,98	0,653147	25012,610824
2	0,473016	18113,629598
2,02	0,587476	22497,34558
2,04	0,539516	20661,070441
2,06	0,743077	28455,87223
2,08	0,628497	24068,54521
2,1	0,504487	19318,880285
2,12	0,72035	27585,606569
2,14	0,727807	27871,563945
2,16	0,882218	33784,589767
2,18	0,936175	35850,740803
2,2	0,968062	37071,095546
2,22	1,063031	40708,116729
2,24	1,113446	42639,434175
2,26	1,05557	40422,669859
2,28	1,113458	42639,177413
2,3	1,188254	45502,30905
2,32	1,091962	41816,391911
2,34	1,219989	46719,278388
2,36	1,156664	44294,487468
2,38	1,217604	46627,777038
2,4	1,220341	46732,079048
2,42	1,284719	49198,16465
2,44	1,356802	51958,417755
2,46	1,393103	53347,501
2,48	1,354333	51864,791894
2,5	1,533178	58711,876814
2,52	1,51929	58179,809236
2,54	1,557925	59659,535722
2,56	1,579379	60481,862997
2,58	1,645383	63009,565505
2,6	1,65194	63260,603948
2,62	1,731075	66291,289198
2,64	1,721698	65931,343857
2,66	1,68557	64548,560506
2,68	1,81525	69514,392528
2,7	1,848187	70774,086508
2,72	1,842084	70541,529489
2,74	1,886242	72232,448306
2,76	1,896333	72620,088654
2,78	1,935166	74107,805901
2,8	1,98042	75839,336776
2,82	2,036721	77995,172475
2,84	1,977069	75710,385807
2,86	2,067529	79174,051906
2,88	2,112243	80888,957644
2,9	2,10933	80774,957346
2,92	2,224625	85190,474104
2,94	2,216954	84896,481704
2,96	2,224372	85184,713032
2,98	2,280666	87340,222102
3	2,307588	88365,132509
3,02	2,337464	89510,250175
3,04	2,392427	91618,512955
3,06	2,486831	95233,684479
3,08	2,456743	94080,431018
3,1	2,461711	94266,80267
3,12	2,518766	96454,096093
3,14	2,456908	94086,994292
3,16	2,531103	96927,219264
3,18	2,687888	102930,093657
3,2	2,698481	103339,176898
3,22	2,769067	106040,743913
3,24	2,762893	105804,995191
3,26	2,835539	108585,652479
3,28	2,89212	110754,367509
3,3	2,864898	109707,503382
3,32	3,008812	115221,545944
3,34	3,004724	115061,458239
3,36	3,038813	116368,693447
3,38	3,082398	118038,775049
3,4	3,094526	118502,431848
3,42	3,226652	123566,067175
3,44	3,215704	123145,504354
3,46	3,287155	125882,998019
3,48	3,308152	126682,952272
3,5	3,345635	128118,652807
3,52	3,437232	131631,848099
3,54	3,409035	130546,155735
3,56	3,37511	129245,580003
3,58	3,467034	132769,737308
3,6	3,481898	133337,34086
3,62	3,522388	134887,254766
3,64	3,622052	138708,08648
3,66	3,628192	138939,550839
3,68	3,664651	140337,166801
3,7	3,676245	140778,713522
3,72	3,753129	143723,07128
3,74	3,838827	147008,085513
3,76	3,841527	147111,857402
3,78	3,968225	151963,284605
3,8	3,946568	151134,927157
3,82	4,002196	153260,201711
3,84	4,060586	155500,978907
3,86	4,085397	156450,612486
3,88	4,14775	158835,868659
3,9	4,152497	159021,256746
3,92	4,261281	163182,29027
3,94	4,262424	163227,699263
3,96	4,219373	161585,872673
3,98	4,238362	162306,297986
4	4,384911	167918,906509
4,02	4,411981	168958,861186
4,04	4,456749	170670,330792
4,06	4,525497	173304,691259
4,08	4,536365	173718,457114
4,1	4,610814	176563,902931
4,12	4,639515	177671,957305
4,14	4,728969	181087,487734
4,16	4,728698	181082,732129
4,18	4,799431	183788,515019
4,2	4,882851	186986,022387
4,22	4,870051	186496,570498
4,24	5,00547	191680,327811
4,26	5,001239	191522,827944
4,28	5,087865	194839,400052
4,3	5,093553	195054,084344
4,32	5,126757	196324,920811
4,34	5,232224	200363,810514
4,36	5,212417	199609,126615
4,38	5,21856	199844,054704
4,4	5,271229	201854,092998
4,42	5,34781	204791,099728
4,44	5,363763	205399,649991
4,46	5,47146	209517,349837
4,48	5,479258	209830,761519
4,5	5,541837	212216,076537
4,52	5,634583	215777,930776
4,54	5,646366	216229,723452
4,56	5,751033	220234,632043
4,58	5,753715	220336,869811
4,6	5,844611	223817,902553
4,62	5,882107	225254,482772
4,64	5,919718	226687,062592
4,66	5,987713	229304,242887
4,68	5,980384	229017,406718
