TIME [s]	VITESSE [m/s]	NBR REYNOLDS
0,02	0,493288	18902,647036
0,04	0,744879	28544,328382
0,06	0,683838	26204,531209
0,08	0,607948	23296,690321
0,1	0,578545	22169,73737
0,12	0,65275	25013,896337
0,14	0,647004	24793,336243
0,16	0,423503	16229,236976
0,18	0,567672	21753,167007
0,2	0,69766	26734,698997
0,22	0,417587	16001,928557
0,24	1,538738	58964,037735
0,26	1,227209	47027,058657
0,28	0,402387	15419,646772
0,3	0,670959	25711,132784
0,32	0,710045	27209,758278
0,34	0,377903	14481,243322
0,36	0,569125	21809,354354
0,38	0,643781	24670,11675
0,4	0,414598	15887,054782
0,42	0,819232	31393,751106
0,44	0,666597	25544,831598
0,46	0,563264	21584,288044
0,48	0,418576	16040,093827
0,5	0,584965	22416,102344
0,52	0,642492	24620,5773
0,54	0,624123	23916,938073
0,56	0,675257	25877,094975
0,58	0,624121	23916,97979
0,6	0,641198	24570,965908
0,62	0,536833	20571,499559
0,64	0,548315	21011,567093
0,66	0,909666	34858,552257
0,68	0,726247	27830,190979
0,7	0,691083	26482,472843
0,72	0,46823	17942,545522
0,74	0,678337	25994,449963
0,76	0,637954	24446,475401
0,78	0,56838	21781,674274
0,8	0,673429	25805,874006
0,82	0,256029	9811,10749
0,84	0,540689	20719,19827
0,86	0,749336	28714,57046
0,88	0,469111	17976,613175
0,9	0,570603	21864,791585
0,92	0,666611	25544,542364
0,94	0,77119	29552,029155
0,96	0,506571	19412,28743
0,98	0,584967	22416,061921
1	0,673424	25805,980047
1,02	0,729107	27939,438353
1,04	0,701225	26871,190602
1,06	0,160236	6140,310304
1,08	0,799313	30630,304063
1,1	0,118515	4541,438057
1,12	0,853988	32725,486304
1,14	0,608623	23323,018482
1,16	0,672824	25781,985039
1,18	0,597611	22900,628191
1,2	0,52112	19969,863389
1,22	0,563999	21612,577316
1,24	0,38227	14648,832059
1,26	0,731382	28026,617435
1,28	0,119163	4566,301741
1,3	0,483069	18511,560475
1,32	0,454727	17425,226264
1,34	0,662856	25400,986465
1,36	0,776557	29757,716099
1,38	0,693491	26574,293275
1,4	0,691681	26505,555908
1,42	0,876546	33590,150452
1,44	0,806468	30903,987611
1,46	0,813142	31159,396722
1,48	0,859797	32948,547152
1,5	0,33992	13026,139546
1,52	0,224942	8619,689777
1,54	1,097103	42041,894651
1,56	0,801285	30706,328688
1,58	0,734208	28135,396338
1,6	0,626781	24018,708691
1,62	0,88973	34094,498637
1,64	0,700041	26825,731551
1,66	0,491591	18838,201834
1,68	0,584258	22388,812134
1,7	0,601764	23059,936671
1,72	0,426447	16341,345845
1,74	0,662237	25376,799606
1,76	0,291226	11159,80244
1,78	0,657817	25208,294461
1,8	0,257946	9884,540217
1,82	0,203617	7802,630953
1,84	0,536981	20576,901008
1,86	0,488357	18714,302918
1,88	0,170742	6542,884594
1,9	0,525241	20127,555932
1,92	0,880437	33738,038008
1,94	1,091078	41812,279539
1,96	0,717047	27477,080929
1,98	0,341142	13072,837374
2	0,649036	24871,772304
2,02	0,703123	26943,136887
2,04	0,639381	24500,826715
2,06	0,6516	24969,492096
2,08	0,858449	32896,158018
2,1	0,733187	28095,911438
2,12	0,855524	32785,063052
2,14	1,020273	39098,041685
2,16	1,03764	39763,014889
2,18	1,037643	39762,960816
2,2	1,154719	44249,932708
2,22	1,06685	40882,399459
2,24	1,054298	40402,563265
2,26	1,127432	43203,45706
2,28	1,092622	41870,116046
2,3	1,198849	45940,456053
2,32	1,370536	52519,310238
2,34	1,376891	52762,531345
2,36	1,279937	49048,631646
2,38	1,369649	52483,993669
2,4	1,291279	49481,265572
2,42	1,314856	50385,431059
2,44	1,442299	55269,515707
2,46	1,495455	57306,847151
2,48	1,478395	56654,289205
2,5	1,577623	60456,158139
2,52	1,525436	58455,334066
2,54	1,679915	64374,258891
2,56	1,625873	62304,134901
2,58	1,723604	66048,547857
2,6	1,714423	65696,655703
2,62	1,776494	68077,528038
2,64	1,7442	66838,135527
2,66	1,844888	70696,391388
2,68	1,816547	69609,164324
2,7	1,871049	71698,627365
2,72	1,985612	76090,544914
2,74	2,036036	78021,477564
2,76	2,026608	77661,49051
2,78	2,004787	76824,014045
2,8	2,044398	78341,043964
2,82	2,009937	77022,719253
2,84	2,089968	80089,785136
2,86	2,110556	80877,518671
2,88	2,076838	79584,958256
2,9	2,256229	86462,610281
2,92	2,266571	86855,588832
2,94	2,276786	87248,483596
2,96	2,271174	87030,433984
2,98	2,354623	90231,718461
3	2,472687	94755,304917
3,02	2,46848	94594,327224
3,04	2,495753	95639,652022
3,06	2,536697	97208,312307
3,08	2,547013	97602,368603
3,1	2,60633	99875,741453
3,12	2,627288	100678,530974
3,14	2,744714	105175,243024
3,16	2,742079	105077,877845
3,18	2,747074	105269,246434
3,2	2,699197	103433,500446
3,22	2,783018	106644,207226
3,24	2,787027	106798,887631
3,26	2,883589	110498,046161
3,28	2,871484	110032,96644
3,3	2,888833	110695,284537
3,32	3,03662	116357,717226
3,34	3,023493	115860,833458
3,36	3,094948	118596,853617
3,38	3,074362	117806,999249
3,4	3,110371	119186,259095
3,42	3,181002	121893,651981
3,44	3,215981	123231,410717
3,46	3,263394	125049,872986
3,48	3,294783	126246,796466
3,5	3,391399	129952,21972
3,52	3,400802	130313,435324
3,54	3,428065	131357,431229
3,56	3,533819	135408,361844
3,58	3,521863	134953,983628
3,6	3,490036	133731,775236
3,62	3,535056	135459,04496
3,64	3,599947	137943,511156
3,66	3,587014	137447,111845
3,68	3,645607	139691,689918
3,7	3,649264	139831,076806
3,72	3,816409	146235,880042
3,74	3,812624	146095,724188
3,76	3,860163	147916,992585
3,78	3,861849	147977,335403
3,8	3,91629	150065,349336
3,82	4,025061	154234,992106
3,84	4,005594	153490,131712
3,86	4,082784	156444,843705
3,88	4,145354	158844,236545
