TIME [s]	VITESSE [m/s]	NBR REYNOLDS
0,02	0,714966	27383,162361
0,04	0,550765	21094,685718
0,06	0,483238	18508,047335
0,08	0,81545	31232,032105
0,1	0,543169	20803,575283
0,12	0,744013	28496,351415
0,14	0,513261	19658,455707
0,16	0,503454	19282,585332
0,18	0,638818	24466,958738
0,2	0,463929	17768,521111
0,22	0,465713	17837,123863
0,24	0,381312	14604,440249
0,26	0,651064	24935,924585
0,28	0,715536	27405,647612
0,3	0,585161	22412,029596
0,32	0,849401	32532,52153
0,34	0,606775	23240,220145
0,36	0,510819	19565,326526
0,38	1,32285	50666,092885
0,4	0,622337	23835,858311
0,42	0,883934	33855,003485
0,44	0,559754	21438,590339
0,46	0,612236	23449,050363
0,48	0,388864	14893,876028
0,5	0,557525	21353,030729
0,52	0,531562	20359,282189
0,54	0,543936	20832,800392
0,56	0,591521	22655,511141
0,58	0,484094	18541,035871
0,6	0,727063	27847,017261
0,62	0,601282	23029,113974
0,64	0,380226	14562,509179
0,66	0,72877	27912,744347
0,68	0,436221	16707,463633
0,7	0,700871	26843,524093
0,72	0,510833	19565,029566
0,74	0,433357	16597,538815
0,76	0,558265	21381,671645
0,78	0,752902	28836,585503
0,8	0,104326	3995,726449
0,82	1,527582	58507,235093
0,84	1,249772	47866,624987
0,86	0,309063	11837,394
0,88	0,688312	26362,058549
0,9	0,552277	21152,318892
0,92	0,299501	11471,170828
0,94	0,602653	23082,213584
0,96	0,453967	17386,955626
0,98	0,633594	24266,733529
1	0,592212	22682,644326
1,02	0,509194	19502,795466
1,04	0,59989	22976,277565
1,06	0,453967	17386,958707
1,08	0,580165	22220,833005
1,1	0,766029	29339,825659
1,12	0,396281	15177,631539
1,14	0,76114	29151,982556
1,16	0,717285	27472,125352
1,18	0,548493	21007,866188
1,2	0,511646	19596,174865
1,22	0,490908	18802,416462
1,24	1,13807	43589,304477
1,26	1,152884	44156,419298
1,28	0,557513	21353,28861
1,3	0,703819	26957,083225
1,32	0,658053	25203,385265
1,34	0,618971	23707,985512
1,36	0,452122	17316,894964
1,38	0,766034	29339,711297
1,4	0,920789	35266,274815
1,42	0,776275	29731,936619
1,44	0,848914	32513,72811
1,46	0,802083	30720,353162
1,48	0,707357	27092,374468
1,5	0,872094	33401,83951
1,52	0,798454	30580,97817
1,54	0,88016	33710,708111
1,56	0,800522	30660,85857
1,58	0,769301	29463,761004
1,6	0,630963	24166,057547
1,62	0,796368	30501,12877
1,64	0,681005	26083,49972
1,66	0,953686	36526,407471
1,68	1,186636	45449,365178
1,7	0,861561	32997,477527
1,72	0,693128	26546,414897
1,74	0,738401	28281,662511
1,76	0,572965	21944,527753
1,78	0,523691	20057,433266
1,8	0,458525	17561,360632
1,82	0,325037	12449,271255
