TIME [s]	VITESSE [m/s]	NBR REYNOLDS
0,02	0,45621	17434,435752
0,04	0,729765	27888,677836
0,06	0,526016	20102,154927
0,08	0,518811	19826,934304
0,1	0,733762	28041,557874
0,12	0,580421	22181,699323
0,14	0,396377	15148,364868
0,16	0,385691	14739,671288
0,18	0,574634	21960,290345
0,2	0,605108	23125,047856
0,22	0,607872	23230,273802
0,24	0,606493	23177,686833
0,26	0,444136	16973,062071
0,28	0,553892	21167,364769
0,3	1,345182	51407,7559
0,32	0,84796	32405,079049
0,34	0,586159	22400,73265
0,36	0,469752	17952,144254
0,38	0,724595	27690,831409
0,4	0,615384	23517,764842
0,42	0,588303	22482,202323
0,44	0,620798	23724,506895
0,46	0,481178	18389,084343
0,48	0,848928	32443,106647
0,5	0,72747	27800,962944
0,52	0,519616	19857,718715
0,54	0,609233	23283,063163
0,56	0,505751	19327,970725
0,58	0,864056	33021,46602
0,6	0,63016	24082,053157
0,62	0,488957	18685,086008
0,64	0,716455	27380,738216
0,66	0,406794	15546,088725
0,68	0,678093	25914,019419
0,7	0,682402	26078,285188
0,72	0,250574	9576,196153
0,74	1,294841	49482,841079
0,76	1,333896	50976,001023
0,78	0,657426	25124,55239
0,8	0,73433	28063,366838
0,82	0,506576	19359,548694
0,84	0,513956	19641,239892
0,86	0,705897	26975,855098
0,88	0,58187	22236,472286
0,9	0,579707	22154,000239
0,92	0,528393	20193,114376
0,94	0,613346	23439,684788
0,96	0,578266	22098,749581
0,98	0,248592	9500,226715
1	0,881785	33698,510767
1,02	0,589006	22509,487299
1,04	0,554642	21196,281733
1,06	0,549347	20993,520625
1,08	0,135343	5172,315854
1,1	0,81834	31273,900788
1,12	0,630822	24107,399972
1,14	0,150511	5752,001141
1,16	1,263451	48284,003037
1,18	1,509418	57686,182497
1,2	0,668785	25558,052323
1,22	0,481191	18388,832017
1,24	0,665024	25414,297344
1,26	0,662499	25318,117947
1,28	0,582592	22263,818574
1,3	0,74395	28430,733656
1,32	0,227515	8694,882405
1,34	0,573179	21904,556318
1,36	0,871294	33297,464263
1,38	0,805466	30781,95804
1,4	0,640033	24459,433931
1,42	1,013706	38738,719942
1,44	0,825982	31565,104322
1,46	0,709426	27111,657565
1,48	0,7871	30079,469372
1,5	0,695151	26565,391452
1,52	0,83753	32007,183258
1,54	0,809108	30920,142894
1,56	0,702316	26840,095447
1,58	1,311813	50133,186973
1,6	1,668116	63749,627657
1,62	0,7041	26908,238185
1,64	0,703506	26885,54552
1,66	0,647825	24757,164935
1,68	0,907493	34680,629908
1,7	0,64393	24608,971428
1,72	0,400585	15308,530519
1,74	0,506578	19359,522527
1,76	0,255231	9753,902445
1,78	0,473302	18087,623052
1,8	0,286121	10934,484626
1,82	0,353078	13493,343964
1,84	0,499252	19079,458954
1,86	0,115331	4407,413577
1,88	0,226015	8637,46061
1,9	0,658816	25177,576106
1,92	0,57911	22131,751507
1,94	0,703032	26866,834133
1,96	0,580552	22186,855006
1,98	0,818945	31297,061305
2	0,476105	18194,898362
2,02	0,661346	25274,473254
2,04	0,891798	34079,698588
2,06	0,866082	33098,691951
2,08	0,729871	27892,74926
2,1	0,91034	34789,330026
2,12	0,693445	26500,851718
2,14	0,977665	37361,825955
2,16	1,077353	41171,526533
2,18	1,115467	42629,144673
2,2	1,154533	44120,879621
2,22	1,121079	42843,37034
2,24	1,201383	45911,288756
2,26	1,217616	46532,435918
2,28	1,329882	50822,097677
2,3	1,297729	49594,074893
2,32	1,318781	50400,918927
2,34	1,278578	48862,343436
2,36	1,27597	48762,053824
2,38	1,459356	55771,893237
2,4	1,380152	52744,53382
2,42	1,270704	48561,543518
2,44	1,447869	55331,879969
2,46	1,436597	54899,125425
2,48	1,576975	60265,073824
2,5	1,670151	63828,313094
2,52	1,60326	61270,00882
2,54	1,736456	66360,241308
2,56	1,67694	64085,164522
2,58	1,63347	62425,414069
2,6	1,710473	65368,88135
2,62	1,749155	66846,438528
2,64	1,880707	71872,722764
2,66	1,854729	70880,642668
2,68	1,943704	74278,515336
2,7	1,949682	74509,069663
2,72	1,967158	75178,631537
2,74	1,995245	76250,763411
2,76	2,046334	78203,913379
2,78	2,106552	80504,225816
2,8	2,099588	80238,465208
2,82	2,081996	79565,887612
2,84	2,140814	81813,154116
2,86	2,216411	84702,894454
2,88	2,223921	84991,208059
2,9	2,217379	84738,412124
2,92	2,213043	84572,420593
2,94	2,309327	88254,703371
2,96	2,384203	91113,088429
2,98	2,400386	91735,638289
3	2,479745	94766,683322
3,02	2,466014	94244,09836
3,04	2,524004	96459,488565
3,06	2,607103	99635,714693
3,08	2,597466	99267,292356
3,1	2,694662	102980,168664
3,12	2,679735	102409,199066
3,14	2,701065	103231,074427
3,16	2,728829	104289,364179
3,18	2,745937	104942,998304
3,2	2,863789	109449,599569
3,22	2,890234	110460,311744
3,24	2,893565	110587,244772
3,26	2,92534	111800,447521
3,28	2,962344	113209,871016
3,3	2,969741	113496,888872
3,32	3,0765	117576,851524
3,34	3,089374	118069,352479
3,36	3,133423	119754,088919
3,38	3,162658	120870,226088
3,4	3,202415	122392,266161
3,42	3,257289	124489,746874
3,44	3,251544	124268,099245
3,46	3,369022	128756,153522
3,48	3,358405	128353,505588
3,5	3,425722	130924,6945
3,52	3,459465	132215,200815
3,54	3,457898	132155,059205
3,56	3,528829	134867,840638
3,58	3,574531	136612,533813
3,6	3,675535	140473,811419
3,62	3,641355	139168,326923
3,64	3,6232	138472,728292
3,66	3,640285	139122,824523
3,68	3,689317	140997,859452
3,7	3,667839	140176,95788
3,72	3,637174	139004,451172
3,74	3,828294	146312,030424
3,76	3,803302	145357,635795
3,78	3,866617	147772,17377
3,8	3,948166	150893,789793
3,82	3,959363	151322,335704
3,84	4,033135	154140,460251
3,86	4,032285	154109,182102
3,88	4,12881	157797,098434
3,9	4,167962	159290,382318
3,92	4,197786	160427,800151
3,94	4,226588	161533,220351
3,96	4,246595	162293,469909
3,98	4,384133	167551,419858
4	4,42557	169137,280561
4,02	4,509777	172355,965398
4,04	4,567742	174569,508682
4,06	4,58399	175185,94726
4,08	4,677093	178742,904866
4,1	4,681142	178901,24182
4,12	4,650715	177736,255563
4,14	4,751546	181595,734121
4,16	4,803531	183582,00474
4,18	4,816777	184086,154548
4,2	4,890354	186902,037679
4,22	4,914774	187838,433931
4,24	4,996272	190952,709306
4,26	5,041429	192672,958959
4,28	5,073798	193907,122101
4,3	5,164805	197387,965685
4,32	5,167456	197485,654852
4,34	5,271524	201470,883765
4,36	5,258987	200991,291144
4,38	5,33778	204004,29488
4,4	5,409221	206733,283866
4,42	5,399539	206359,452702
4,44	5,540061	211731,722527
4,46	5,560622	212526,466872
4,48	5,59362	213782,152012
4,5	5,657899	216238,674767
4,52	5,625623	215007,693954
4,54	5,679654	217070,095534
4,56	5,776629	220785,784022
4,58	5,802395	221766,938706
4,6	5,841978	223278,513307
4,62	5,908325	225812,304849
4,64	5,928813	226599,188073
4,66	6,056763	231488,248524
4,68	6,067436	231888,947489
4,7	6,13621	234518,067977
4,72	6,194642	236756,118169
4,74	6,195532	236801,306145
4,76	6,283087	240140,411359
4,78	6,327061	241820,062504
4,8	6,440927	246176,047367
4,82	6,471835	247359,710259
4,84	6,533719	249718,573414
4,86	6,596984	252130,515466
4,88	6,605469	252454,850837
4,9	6,746027	257835,570572
4,92	6,715437	256672,078933
4,94	6,743704	257744,891792
4,96	6,76489	258553,468436
4,98	6,890677	263359,105111
5	6,894127	263498,524679
5,02	7,005211	267737,821451
5,04	7,02297	268423,663931
5,06	7,097894	271278,620504
5,08	7,161008	273692,865232
5,1	7,157935	273574,133547
5,12	7,337562	280441,550286
5,14	7,322963	279876,846968
5,16	7,388797	282404,86632
5,18	7,455461	284957,216149
5,2	7,501477	286698,708066
5,22	7,642805	292103,509235
5,24	7,629128	291576,996786
5,26	7,736761	295702,914814
5,28	7,753373	296332,160194
5,3	7,796782	297993,168
5,32	7,910642	302338,128242
5,34	7,894134	301704,295911
5,36	7,890015	301561,72559
5,38	7,992918	305488,707379
5,4	8,055204	307870,516541
5,42	8,073357	308557,616377
5,44	8,200439	313424,780837
5,46	8,19103	313066,588109
5,48	8,348195	319072,907773
5,5	8,373527	320036,186773
5,52	8,447719	322869,642136
5,54	8,531804	326090,017257
5,56	8,543225	326517,133552
5,58	8,694017	332283,42683
5,6	8,696754	332393,884098
5,62	8,801559	336395,139737
5,64	8,862795	338744,427611
5,66	8,895574	339988,188113
5,68	9,058816	346230,91278
5,7	9,040288	345514,881204
5,72	9,212052	352093,407244
5,74	9,240452	353173,97643
5,76	9,238035	353080,068542
5,78	9,242774	353256,496948
5,8	9,443182	360918,241469
5,82	9,444112	360969,415173
5,84	9,535282	364428,774519
5,86	9,624612	367847,659307
5,88	9,648385	368763,875941
5,9	9,844035	376232,600182
5,92	9,847036	376353,09611
5,94	9,988348	381749,97781
5,96	10,037957	383657,548455
5,98	10,127887	387082,075149
6	10,267279	392408,669696
6,02	10,262904	392254,503358
6,04	10,46078	399810,389708
6,06	10,481681	400612,6025
6,08	10,599346	405098,256887
6,1	10,700162	408952,828814
6,12	10,715768	409565,951446
6,14	10,957137	418777,313234
6,16	10,941022	418175,11005
6,18	10,932311	417837,444983
6,2	11,008625	420745,719545
6,22	11,17067	426952,688485
6,24	11,163719	426690,759939
6,26	11,360395	434221,166115
6,28	11,395237	435549,869423
6,3	11,505762	439781,392931
6,32	11,632825	444646,661881
6,34	11,648116	445220,898296
6,36	11,878975	454054,9776
6,38	11,886322	454334,009827
6,4	12,044698	460402,268959
6,42	12,130777	463685,536347
6,44	12,191311	465990,724563
6,46	12,388076	473514,851767
6,48	12,378501	473144,237634
6,5	12,586375	481097,844659
6,52	12,635002	482958,251424
6,54	12,738022	486903,90838
6,56	12,877732	492238,039008
6,58	12,890204	492708,170648
6,6	12,8789	492296,100587
6,62	13,033035	498178,49542
6,64	13,129727	501890,876367
6,66	13,166753	503287,84453
