TIME [s]	VITESSE [m/s]	NBR REYNOLDS
0,02	0,557785	21308,375652
0,04	0,766827	29294,270847
0,06	0,086321	3297,671551
0,08	0,744129	28427,03897
0,1	0,602484	23016,16135
0,12	0,730504	27907,11868
0,14	0,69651	26608,057953
0,16	0,424003	16198,009638
0,18	1,206183	46077,957372
0,2	1,13056	43190,080987
0,22	0,423009	16160,423407
0,24	0,80566	30777,940526
0,26	0,565246	21592,708872
0,28	0,286196	10932,939082
0,3	0,655029	25024,01831
0,32	0,679491	25957,663971
0,34	0,764095	29189,900364
0,36	0,488194	18650,452901
0,38	0,697712	26653,857942
0,4	0,678872	25934,191798
0,42	0,658856	25169,810714
0,44	0,77009	29419,088926
0,46	0,555535	21222,16463
0,48	0,58915	22506,500627
0,5	0,678257	25910,628181
0,52	0,539479	20609,547567
0,54	0,723616	27643,054617
0,56	0,633618	24205,399539
0,58	0,487343	18617,565477
0,6	0,906402	34626,782872
0,62	1,001877	38274,703377
0,64	0,667681	25507,163734
0,66	0,250333	9562,945089
0,68	0,613488	23436,735003
0,7	0,58272	22261,184238
0,72	0,517319	19762,714794
0,74	0,666443	25458,940646
0,76	0,405854	15504,917839
0,78	0,499207	19071,225572
0,8	0,49246	18813,382157
0,82	0,713719	27265,121775
0,84	0,591981	22614,77885
0,86	0,680722	26004,632722
0,88	0,720704	27532,751067
0,9	0,372539	14232,178043
0,92	0,651845	24901,405256
0,94	0,489916	18715,576833
0,96	0,683788	26121,724323
0,98	0,440451	16826,551577
1	0,614847	23488,840643
1,02	0,959746	36664,687033
1,04	0,856969	32738,751944
1,06	0,636258	24305,957794
1,08	0,495854	18942,569129
1,1	0,670822	25626,222045
1,12	0,400673	15306,699792
1,14	0,550233	21019,981965
1,16	0,523744	20008,369728
1,18	0,449858	17185,27951
1,2	0,652486	24925,924499
1,22	0,570388	21790,010783
1,24	0,571122	21817,966852
1,26	0,528519	20190,500243
1,28	0,817006	31211,129094
1,3	0,555531	21222,252477
1,32	0,764084	29190,12061
1,34	0,744699	28448,328228
1,36	0,495013	18910,235749
1,38	0,77009	29419,09238
1,4	0,869574	33219,856155
1,42	0,699501	26722,625925
1,44	0,704373	26909,082274
1,46	0,990129	37825,283585
1,48	0,793104	30298,14199
1,5	0,6764	25839,943766
1,52	0,891874	34073,009165
1,54	0,809295	30916,278271
1,56	0,842226	32173,961835
1,58	0,744138	28426,859544
1,6	0,607332	23200,915118
1,62	0,750846	28683,518206
1,64	0,953107	36410,922567
1,66	0,629636	24053,790697
1,68	0,701294	26791,030158
1,7	0,559283	21365,582409
1,72	0,620272	23695,697947
1,74	0,390094	14902,55726
1,76	0,10858	4147,91613
1,78	0,418227	15977,402265
1,8	0,279069	10660,770264
1,82	0,371634	14196,983465
1,84	0,484923	18525,032197
1,86	1,016068	38815,69623
1,88	0,258852	9888,427445
1,9	0,479718	18326,283927
1,92	0,077031	2942,650481
1,94	0,428118	16354,880268
1,96	0,641608	24510,856593
1,98	0,48836	18656,392458
2	0,606078	23153,181011
2,02	0,897608	34289,845148
2,04	0,561664	21456,342701
2,06	0,699614	26726,815865
2,08	0,778836	29752,94761
2,1	0,814004	31097,6071
2,12	0,776688	29670,704805
2,14	0,819152	31292,757919
2,16	1,042489	39824,663828
2,18	0,881128	33661,395549
2,2	0,944379	36077,057061
2,22	1,064309	40659,373469
2,24	1,140961	43586,190305
2,26	1,188687	45411,377642
2,28	1,191157	45505,171016
2,3	1,119463	42766,860425
2,32	1,285392	49105,600341
2,34	1,192567	45558,668497
2,36	1,198171	45772,438297
2,38	1,241722	47435,779404
2,4	1,278218	48831,25031
2,42	1,34085	51222,30215
2,44	1,434863	54814,925975
2,46	1,410755	53894,045328
2,48	1,427851	54546,963199
2,5	1,498225	57232,904518
2,52	1,641551	62709,442083
2,54	1,590813	60771,835313
2,56	1,532421	58541,175305
2,58	1,662768	63522,890161
2,6	1,708938	65285,384715
2,62	1,702321	65032,3436
2,64	1,708974	65284,631483
2,66	1,744805	66654,457349
2,68	1,852464	70768,036276
2,7	1,842735	70396,034112
2,72	1,913975	73118,643094
2,74	1,876922	71701,948199
2,76	1,910902	73001,883369
2,78	1,9715	75313,918846
2,8	2,007439	76687,654893
2,82	2,021303	77220,127536
2,84	2,076644	79333,106163
2,86	2,081515	79516,68518
2,88	2,176384	83142,482018
2,9	2,16753	82803,96519
2,92	2,181572	83340,37579
2,94	2,211443	84483,048671
2,96	2,275053	86911,47494
2,98	2,332208	89097,279134
3	2,318938	88588,018755
3,02	2,352785	89880,853632
3,04	2,413168	92187,534092
3,06	2,410395	92081,475732
3,08	2,532269	96736,628173
3,1	2,561149	97841,484408
3,12	2,47783	94657,247778
3,14	2,56731	98079,058128
3,16	2,587168	98834,265963
3,18	2,59919	99297,961689
3,2	2,746205	104910,530887
3,22	2,72756	104198,239966
3,24	2,77046	105837,577903
3,26	2,752508	105156,422082
3,28	2,829023	108074,878259
3,3	2,918236	111483,774195
3,32	2,948924	112654,194361
3,34	3,00244	114700,933687
3,36	3,019152	115336,953397
3,38	3,072011	117357,254162
3,4	3,174223	121260,60126
3,42	3,156598	120590,2436
3,44	3,242678	123875,051102
3,46	3,247924	124077,700827
3,48	3,3155	126657,873715
3,5	3,343769	127737,587927
3,52	3,382163	129206,592604
3,54	3,358113	128286,192341
3,56	3,443077	131533,741044
3,58	3,457163	132070,524973
3,6	3,470907	132596,836288
3,62	3,524749	134651,928563
3,64	3,54837	135556,273099
3,66	3,686471	140829,641957
3,68	3,651484	139492,336635
3,7	3,704022	141499,786753
3,72	3,791724	144851,31189
3,74	3,806659	145424,108009
3,76	3,9085	149313,131326
3,78	3,872143	147925,171046
3,8	3,994419	152597,422168
3,82	4,014201	153350,779297
3,84	4,088092	156169,626087
3,86	4,122226	157473,597907
3,88	4,154617	158714,147193
3,9	4,24067	162003,961614
3,92	4,282953	163620,284317
3,94	4,259455	162722,329131
3,96	4,2577	162654,507789
3,98	4,38291	167436,24688
4	4,387533	167610,222409
4,02	4,460272	170387,271555
4,04	4,535488	173261,705559
4,06	4,538405	173375,106739
4,08	4,639904	177249,40852
4,1	4,616663	176367,755719
